Estimator,L,N_i,intercept,slope,r2_stage1,kappa_hat_naive
moment_quant_exact_intervals,1536,480,0.007881084677259433,0.000989983198802881,0.9878846068632192,1.641892641095715e-05
moment_quant_exact_intervals,2046,480,0.007899751789568003,0.001390288041812045,0.9891726963383654,1.6457816228266672e-05
moment_quant_exact_intervals,2047,480,0.007865740383161419,0.0013908588406114336,0.9886905861726413,1.638695913158629e-05
moment_quant_exact_intervals,2048,480,0.007845663403686597,0.001395744187600173,0.9897067791610732,1.6345132091013746e-05
moment_quant_exact_intervals,2049,480,0.008085865212846705,0.001447541847559244,0.9913633169712056,1.6845552526763968e-05
moment_quant_exact_intervals,4094,480,0.007909529462261693,0.0031089708110611162,0.992513924840534,1.647818637971186e-05
moment_quant_exact_intervals,4095,480,0.007844991397197468,0.003069686930900973,0.9904091363489772,1.6343732077494727e-05
moment_quant_exact_intervals,4096,480,0.007789574536678107,0.0030812323724545144,0.9907998280503555,1.6228280284746057e-05
moment_quant_exact_intervals,8192,480,0.0077930505724487795,0.006757643035809489,0.9941367563955331,1.6235522025934957e-05
moment_quant_approx_intervals,9,37,0.002119108822065686,5.470690459615666e-06,0.8602676779926062,5.727321140718071e-05
moment_quant_approx_intervals,14,71,0.0037268287224827487,1.1609441632839916e-05,0.788644612883869,5.249054538708097e-05
moment_quant_approx_intervals,15,77,0.004064646872666422,9.846999311066609e-06,0.9794217599680266,5.278762172294054e-05
moment_quant_approx_intervals,16,84,0.004530515952402647,1.2981463630842358e-05,0.8557187718748009,5.393471371907913e-05
moment_quant_approx_intervals,17,89,0.004910425188462204,1.4075940016926823e-05,0.8712131055663284,5.5173316724294424e-05
moment_quant_approx_intervals,20,101,0.005277384931795522,1.674775373568784e-05,0.8183864697509577,5.2251335958371506e-05
moment_quant_approx_intervals,24,126,0.006361663257206067,1.9539561852082495e-05,0.8936225873427279,5.0489390930206884e-05
moment_quant_approx_intervals,28,165,0.008387908389227667,2.5441363515396494e-05,0.8902294596358542,5.0835808419561616e-05
moment_quant_approx_intervals,30,179,0.009147301687260804,2.75144247239278e-05,0.886095124859823,5.110224406290952e-05
moment_quant_approx_intervals,31,185,0.00942553440496381,2.7968963988589217e-05,0.8952698262962983,5.0948834621426e-05
moment_quant_approx_intervals,32,192,0.01005183719883873,2.955934652097211e-05,0.9297414275340867,5.2353318743951716e-05
moment_quant_approx_intervals,33,197,0.010557778670734593,3.244719775442247e-05,0.9098479111956272,5.3592785130632455e-05
moment_quant_approx_intervals,40,223,0.01122630175445251,3.93632548934744e-05,0.9108847778665228,5.034216033386776e-05
moment_quant_approx_intervals,48,274,0.013618156559174924,4.446050606454552e-05,0.9360244316601483,4.9701301310857386e-05
moment_quant_approx_intervals,56,357,0.01790443628178893,5.7812345721716556e-05,0.952323887040845,5.015248258204182e-05
moment_quant_approx_intervals,62,399,0.020155548219492583,6.260938160493103e-05,0.9394097184379053,5.051515844484356e-05
moment_quant_approx_intervals,63,405,0.020388054405807085,6.357181626045691e-05,0.913710344059418,5.0340875076066875e-05
moment_quant_approx_intervals,64,412,0.020695938122517955,6.486629511129674e-05,0.9063584054164446,5.023285952067465e-05
moment_quant_approx_intervals,65,416,0.020907435641360717,6.44016583040893e-05,0.9320526232266342,5.025825875327095e-05
moment_quant_approx_intervals,80,426,0.019364036040725643,6.891742678220673e-05,0.9682796398002308,4.5455483663675216e-05
moment_quant_approx_intervals,88,430,0.01931044303498948,7.063731414308667e-05,0.9829907445673928,4.490800705811507e-05
moment_quant_approx_intervals,96,450,0.020365072965066598,7.401387968697555e-05,0.9856054759518555,4.5255717700147996e-05
moment_quant_approx_intervals,126,480,0.02193499351495178,8.592473728326622e-05,0.9905958856710934,4.569790315614954e-05
moment_quant_approx_intervals,127,480,0.02194529301727425,9.043419406374864e-05,0.9885559072289198,4.5719360452654683e-05
moment_quant_approx_intervals,128,480,0.02191709042985626,9.032136039336298e-05,0.9830333640300574,4.566060506220054e-05
moment_quant_approx_intervals,129,480,0.021954177831031492,8.719193502559723e-05,0.9893246207287442,4.573787048131561e-05
moment_quant_approx_intervals,192,480,0.017524389873889223,0.00010105192258038145,0.9516928497193984,3.650914557060255e-05
moment_quant_approx_intervals,254,480,0.017681681140967652,0.00011434861110239866,0.9430609021621414,3.6836835710349275e-05
moment_quant_approx_intervals,255,480,0.017650930138107323,0.00011445731109242507,0.9502632492358583,3.677277112105692e-05
moment_quant_approx_intervals,256,480,0.01766432576346994,0.00011241088505348797,0.9492980755621903,3.6800678673895714e-05
moment_quant_approx_intervals,257,480,0.017634950865024326,0.00011889179626347127,0.9589568965301313,3.673948096880068e-05
moment_quant_approx_intervals,384,480,0.025167417711897924,0.00015890247134816662,0.9059376811289204,5.2432120233120676e-05
moment_quant_approx_intervals,510,480,0.025639378480921283,0.00019711401709049566,0.9337873788647564,5.3415371835252675e-05
moment_quant_approx_intervals,511,480,0.025631671222862695,0.00019614189430898604,0.9361049977316211,5.339931504763062e-05
moment_quant_approx_intervals,512,480,0.025787811779332755,0.00019305727747014056,0.9362842486220954,5.372460787360991e-05
moment_quant_approx_intervals,513,480,0.025886172213140792,0.00018928347863701096,0.9447375115067709,5.3929525444043315e-05
moment_quant_approx_intervals,768,480,0.028654873624964328,0.0002701047217453292,0.8922919826053921,5.9697653385342346e-05
moment_quant_approx_intervals,1022,480,0.028864219981151133,0.00031893562803670647,0.9025012338681883,6.013379162739819e-05
moment_quant_approx_intervals,1023,480,0.02868664063460272,0.00031496534719243664,0.9035191712817803,5.9763834655422336e-05
