Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
Wafer,train,1000,152,moment_quant_approx_intervals,4,0.0853160000006028
Wafer,test,6164,152,moment_quant_approx_intervals,4,0.49994383300145273
Wafer,train,1000,152,moment_quant_approx_auto,7,0.04858391699963249
Wafer,test,6164,152,moment_quant_approx_auto,7,0.21145787500063307
Wafer,train,1000,152,moment_quant_exact_samples,2,0.05742204100170056
Wafer,test,6164,152,moment_quant_exact_samples,2,0.3184828329976881
Wafer,train,1000,152,moment_quant_approx_samples,5,0.05128437500025029
Wafer,test,6164,152,moment_quant_approx_samples,5,0.2083835839985113
Wafer,train,1000,152,moment_quant_exact_auto,7,0.0644033339995076
Wafer,test,6164,152,moment_quant_exact_auto,7,0.37998966699888115
Wafer,train,1000,152,moment_quant_approx_samples,4,0.04923079199943459
Wafer,test,6164,152,moment_quant_approx_samples,4,0.2244963339981041
Wafer,train,1000,152,moment_quant_exact_auto,0,0.0681096250009432
Wafer,test,6164,152,moment_quant_exact_auto,0,0.32771525000134716
Wafer,train,1000,152,moment_quant_exact_intervals,0,0.07047920900004101
Wafer,test,6164,152,moment_quant_exact_intervals,0,0.43702691699945717
Wafer,train,1000,152,moment_quant_approx_samples,0,0.0511129170008644
Wafer,test,6164,152,moment_quant_approx_samples,0,0.21552062499904423
Wafer,train,1000,152,moment_quant_approx_auto,4,0.04809391699745902
Wafer,test,6164,152,moment_quant_approx_auto,4,0.21452762499757227
Wafer,train,1000,152,moment_quant_approx_intervals,9,0.08678045900160214
Wafer,test,6164,152,moment_quant_approx_intervals,9,0.4918498750012077
Wafer,train,1000,152,moment_quant_approx_samples,6,0.049262125001405366
Wafer,test,6164,152,moment_quant_approx_samples,6,0.2156445420005184
Wafer,train,1000,152,moment_quant_exact_intervals,4,0.06691720800154144
Wafer,test,6164,152,moment_quant_exact_intervals,4,0.4397309169980872
Wafer,train,1000,152,moment_quant_approx_auto,1,0.05002316599711776
Wafer,test,6164,152,moment_quant_approx_auto,1,0.20256483299817774
Wafer,train,1000,152,moment_quant_exact_intervals,8,0.06692337500135181
Wafer,test,6164,152,moment_quant_exact_intervals,8,0.4338805000006687
Wafer,train,1000,152,moment_quant_approx_intervals,2,0.08653774999766028
Wafer,test,6164,152,moment_quant_approx_intervals,2,0.49164791599832824
Wafer,train,1000,152,moment_quant_exact_samples,8,0.0551406250015134
Wafer,test,6164,152,moment_quant_exact_samples,8,0.3728288749989588
Wafer,train,1000,152,moment_quant_exact_auto,3,0.056266333998792106
Wafer,test,6164,152,moment_quant_exact_auto,3,0.3080731670015666
Wafer,train,1000,152,moment_quant_exact_auto,4,0.05656941699999152
Wafer,test,6164,152,moment_quant_exact_auto,4,0.3240744580034516
Wafer,train,1000,152,moment_quant_approx_samples,8,0.049733790998288896
Wafer,test,6164,152,moment_quant_approx_samples,8,0.22558041699812748
Wafer,train,1000,152,quant_float64,4,0.12120320900066872
Wafer,test,6164,152,quant_float64,4,0.545287584001926
Wafer,train,1000,152,moment_quant_exact_intervals,9,0.06710116699832724
Wafer,test,6164,152,moment_quant_exact_intervals,9,0.4325439579988597
Wafer,train,1000,152,moment_quant_exact_auto,9,0.057832124999549706
Wafer,test,6164,152,moment_quant_exact_auto,9,0.33314291699934984
Wafer,train,1000,152,moment_quant_exact_intervals,6,0.06757416700202157
Wafer,test,6164,152,moment_quant_exact_intervals,6,0.43260287500015693
Wafer,train,1000,152,moment_quant_approx_samples,2,0.04849191599714686
Wafer,test,6164,152,moment_quant_approx_samples,2,0.21154120799837983
Wafer,train,1000,152,quant_float64,6,0.11816579199876287
Wafer,test,6164,152,quant_float64,6,0.5089102499987348
Wafer,train,1000,152,moment_quant_approx_intervals,1,0.08903687499696389
Wafer,test,6164,152,moment_quant_approx_intervals,1,0.499282790999132
Wafer,train,1000,152,moment_quant_approx_auto,2,0.04775149999841233
Wafer,test,6164,152,moment_quant_approx_auto,2,0.21089129100073478
Wafer,train,1000,152,quant_float64,3,0.11703866699826904
Wafer,test,6164,152,quant_float64,3,0.5249504999992496
Wafer,train,1000,152,moment_quant_exact_auto,1,0.055013917000906076
Wafer,test,6164,152,moment_quant_exact_auto,1,0.3114988330016786
Wafer,train,1000,152,moment_quant_exact_samples,0,0.05692266699770698
Wafer,test,6164,152,moment_quant_exact_samples,0,0.3160415419988567
Wafer,train,1000,152,moment_quant_exact_samples,9,0.05719979100103956
Wafer,test,6164,152,moment_quant_exact_samples,9,0.30870587499885005
Wafer,train,1000,152,moment_quant_approx_samples,7,0.05089029200098594
Wafer,test,6164,152,moment_quant_approx_samples,7,0.20908820800104877
Wafer,train,1000,152,moment_quant_exact_auto,5,0.06187037500058068
Wafer,test,6164,152,moment_quant_exact_auto,5,0.32384937499955413
Wafer,train,1000,152,moment_quant_approx_auto,9,0.05132891700122855
Wafer,test,6164,152,moment_quant_approx_auto,9,0.2088596250032424
Wafer,train,1000,152,moment_quant_approx_intervals,0,0.09484991700082901
Wafer,test,6164,152,moment_quant_approx_intervals,0,0.5174231250020966
Wafer,train,1000,152,quant_float64,8,0.11886266699730186
Wafer,test,6164,152,quant_float64,8,0.45350029099790845
Wafer,train,1000,152,moment_quant_approx_intervals,8,0.0872480829966662
Wafer,test,6164,152,moment_quant_approx_intervals,8,0.500651750000543
Wafer,train,1000,152,quant_float64,1,0.11365033399852109
Wafer,test,6164,152,quant_float64,1,0.49876545799997984
Wafer,train,1000,152,moment_quant_approx_intervals,7,0.08753291700122645
Wafer,test,6164,152,moment_quant_approx_intervals,7,0.5134706669996376
Wafer,train,1000,152,quant_float64,2,0.12164883299919893
Wafer,test,6164,152,quant_float64,2,0.5202829579975514
Wafer,train,1000,152,moment_quant_approx_auto,6,0.04983179200280574
Wafer,test,6164,152,moment_quant_approx_auto,6,0.21292620800159057
BirdChicken,train,20,512,moment_quant_exact_samples,3,0.007237417001306312
BirdChicken,test,20,512,moment_quant_exact_samples,3,0.004350958999566501
BirdChicken,train,20,512,moment_quant_approx_samples,9,0.026348458999564173
BirdChicken,test,20,512,moment_quant_approx_samples,9,0.02430145800099126
BirdChicken,train,20,512,moment_quant_approx_intervals,3,0.03221516699704807
BirdChicken,test,20,512,moment_quant_approx_intervals,3,0.029446917000313988
BirdChicken,train,20,512,moment_quant_approx_auto,7,0.026420292000693735
BirdChicken,test,20,512,moment_quant_approx_auto,7,0.023970999998709885
BirdChicken,train,20,512,moment_quant_exact_intervals,8,0.01487779099988984
BirdChicken,test,20,512,moment_quant_exact_intervals,8,0.012694666998868342
BirdChicken,train,20,512,moment_quant_exact_auto,6,0.005255416002910351
BirdChicken,test,20,512,moment_quant_exact_auto,6,0.004300665998016484
BirdChicken,train,20,512,quant_float64,9,0.03386512500219396
BirdChicken,test,20,512,quant_float64,9,0.029845166998711647
BirdChicken,train,20,512,moment_quant_exact_intervals,1,0.015046666998387082
BirdChicken,test,20,512,moment_quant_exact_intervals,1,0.01268608300233609
BirdChicken,train,20,512,moment_quant_exact_samples,4,0.005120417001307942
BirdChicken,test,20,512,moment_quant_exact_samples,4,0.0036177090005367063
BirdChicken,train,20,512,moment_quant_approx_intervals,0,0.032367125000746455
BirdChicken,test,20,512,moment_quant_approx_intervals,0,0.02957366700138664
BirdChicken,train,20,512,quant_float64,5,0.033541875000082655
BirdChicken,test,20,512,quant_float64,5,0.030075375001615612
BirdChicken,train,20,512,moment_quant_approx_samples,8,0.026395790999231394
BirdChicken,test,20,512,moment_quant_approx_samples,8,0.025015375002112705
BirdChicken,train,20,512,moment_quant_exact_samples,9,0.005330790998414159
BirdChicken,test,20,512,moment_quant_exact_samples,9,0.004145500002778135
BirdChicken,train,20,512,moment_quant_exact_intervals,6,0.014941541998268804
BirdChicken,test,20,512,moment_quant_exact_intervals,6,0.012740124999254476
BirdChicken,train,20,512,moment_quant_exact_auto,9,0.006116583001130493
BirdChicken,test,20,512,moment_quant_exact_auto,9,0.004146166000282392
BirdChicken,train,20,512,moment_quant_approx_auto,5,0.026374875000328757
BirdChicken,test,20,512,moment_quant_approx_auto,5,0.02508941699852585
BirdChicken,train,20,512,moment_quant_approx_samples,4,0.025988875000621192
BirdChicken,test,20,512,moment_quant_approx_samples,4,0.025665125001978595
BirdChicken,train,20,512,quant_float64,1,0.03352733399879071
BirdChicken,test,20,512,quant_float64,1,0.030550417002814356
BirdChicken,train,20,512,moment_quant_exact_auto,8,0.0053412499983096495
BirdChicken,test,20,512,moment_quant_exact_auto,8,0.002948124998511048
BirdChicken,train,20,512,quant_float64,6,0.0322580830033985
BirdChicken,test,20,512,quant_float64,6,0.030446584001765586
BirdChicken,train,20,512,moment_quant_approx_intervals,1,0.03083912500005681
BirdChicken,test,20,512,moment_quant_approx_intervals,1,0.028627125000639353
BirdChicken,train,20,512,moment_quant_approx_samples,6,0.026326916999096284
BirdChicken,test,20,512,moment_quant_approx_samples,6,0.024203375000070082
BirdChicken,train,20,512,moment_quant_approx_intervals,4,0.03215658399858512
BirdChicken,test,20,512,moment_quant_approx_intervals,4,0.02951591600140091
BirdChicken,train,20,512,moment_quant_approx_intervals,6,0.03148199999850476
BirdChicken,test,20,512,moment_quant_approx_intervals,6,0.03228937499807216
BirdChicken,train,20,512,moment_quant_exact_auto,5,0.007988749999640277
BirdChicken,test,20,512,moment_quant_exact_auto,5,0.005780415998742683
BirdChicken,train,20,512,moment_quant_exact_intervals,7,0.015214000002742978
BirdChicken,test,20,512,moment_quant_exact_intervals,7,0.013755083000432933
BirdChicken,train,20,512,moment_quant_approx_auto,0,0.02729900000122143
BirdChicken,test,20,512,moment_quant_approx_auto,0,0.025335333997645648
BirdChicken,train,20,512,moment_quant_exact_intervals,4,0.01518187499823398
