Dataset,LengthBin,AccuracyDelta,RuntimeSpeedup,Comparison,SeriesLength
PigAirwayPressure,Long,-0.046474358974358976,1.0135983625003857,approx_vs_exact,2000
PigArtPressure,Long,-0.003685897435897423,1.0624036356102031,approx_vs_exact,2000
PigCVP,Long,-0.0017628205128205066,1.0589561806179608,approx_vs_exact,2000
Plane,Short,0.0,1.0271576128675186,approx_vs_exact,144
PowerCons,Short,0.002592592592592702,1.1537261996820718,approx_vs_exact,144
ProximalPhalanxOutlineAgeGroup,Short,0.0014634146341463428,1.121181604119991,approx_vs_exact,80
ProximalPhalanxOutlineCorrect,Short,-0.001832760595647187,1.137274491238164,approx_vs_exact,80
ProximalPhalanxTW,Short,-0.006504065040650375,1.1219881130738818,approx_vs_exact,80
RefrigerationDevices,Medium-long,-0.032888888888888745,0.9430109519700755,approx_vs_exact,720
Rock,Long,0.01533333333333331,1.1456887762635921,approx_vs_exact,2844
ScreenType,Medium-long,-0.013333333333333308,0.9182413788489369,approx_vs_exact,720
SemgHandGenderCh2,Long,-0.00477777777777777,1.2482444077031858,approx_vs_exact,1500
SemgHandMovementCh2,Long,0.017185185185185192,1.1261964778430464,approx_vs_exact,1500
SemgHandSubjectCh2,Long,-0.002666666666666595,1.1995054072535405,approx_vs_exact,1500
ShakeGestureWiimoteZ,Medium-long,-0.01733333333333331,0.9710759351053773,approx_vs_exact,385
ShapeletSim,Medium-long,-0.15833333333333321,0.8864245588248609,approx_vs_exact,500
ShapesAll,Medium-long,-0.01588888888888884,1.029420833115081,approx_vs_exact,512
SharePriceIncrease,Short,0.0024499654934437842,1.1846329097895896,approx_vs_exact,60
SmallKitchenAppliances,Medium-long,0.004266666666666752,0.8347430442626083,approx_vs_exact,720
SmoothSubspace,Short,-0.0013333333333332975,1.0486603799647927,approx_vs_exact,15
SonyAIBORobotSurface1,Short,0.017415418746533518,1.3937487467200487,approx_vs_exact,70
SonyAIBORobotSurface2,Short,-6.995452955582682e-05,1.579007255291397,approx_vs_exact,65
StarLightCurves,Long,-0.002157196049862309,1.2648905307202998,approx_vs_exact,1024
Strawberry,Medium-short,-0.00045045045045044585,1.1043893626550971,approx_vs_exact,235
SwedishLeaf,Short,-0.0077866666666667195,1.2224921812152232,approx_vs_exact,128
Symbols,Medium-long,0.018760469011725234,1.1253305253724735,approx_vs_exact,398
SyntheticControl,Short,0.0020000000000000018,1.227728623874872,approx_vs_exact,60
ToeSegmentation1,Medium-short,-0.009210526315789447,1.1557301099420547,approx_vs_exact,277
ToeSegmentation2,Medium-long,-0.015128205128205119,1.0576674844506209,approx_vs_exact,343
Tools,Long,0.007960199004975133,1.0384159114033746,approx_vs_exact,2926
Trace,Medium-short,0.0,1.1370516262373414,approx_vs_exact,275
TwoLeadECG,Short,-0.007726075504828844,1.813763885953373,approx_vs_exact,82
TwoPatterns,Short,-0.0043999999999999595,1.0582524984259984,approx_vs_exact,128
UMD,Medium-short,0.008796296296296302,1.0483527143165927,approx_vs_exact,150
UWaveGestureLibraryAll,Long,-0.0004652894100130034,1.1378172574694028,approx_vs_exact,945
UWaveGestureLibraryX,Medium-short,-0.01189279731993309,1.043391288840769,approx_vs_exact,315
UWaveGestureLibraryY,Medium-short,-0.007305043737204531,1.035556988080403,approx_vs_exact,315
UWaveGestureLibraryZ,Medium-short,-0.014935790061418208,1.0439308028077268,approx_vs_exact,315
Wafer,Medium-short,-0.0011572571922994213,0.8928087445203595,approx_vs_exact,152
Wine,Medium-short,-0.011111111111111183,0.9627549810152818,approx_vs_exact,234
WordSynonyms,Medium-short,0.00015673981191222097,1.0552144265550596,approx_vs_exact,270
Worms,Long,-0.03463203463203479,1.0222855705852578,approx_vs_exact,900
WormsTwoClass,Long,-0.0012987012987013546,1.0374254565007064,approx_vs_exact,900
Yoga,Medium-long,-0.002288888888888785,1.1165516151319053,approx_vs_exact,426
