Dataset,Estimator,Accuracy,LengthBin,SeriesLength,TransformRuntime
DodgerLoopGame,moment_quant_approx,0.8454068241469817,Medium-short,288,0.0587160009999933
DodgerLoopGame,moment_quant_exact,0.8391076115485564,Medium-short,288,0.0520361669987323
DodgerLoopGame,quant,0.8391076115485564,Medium-short,288,0.0740085830002499
DodgerLoopWeekend,moment_quant_approx,0.9843915343915343,Medium-short,288,0.0594014170019362
DodgerLoopWeekend,moment_quant_exact,0.9846560846560845,Medium-short,288,0.051666084000316796
DodgerLoopWeekend,quant,0.9846560846560845,Medium-short,288,0.0744135000022651
ECG200,moment_quant_approx,0.881,Short,96,0.0391223320002609
ECG200,moment_quant_exact,0.881,Short,96,0.0363887499988777
ECG200,quant,0.881,Short,96,0.0463787499975296
ECG5000,moment_quant_approx,0.9457407407407408,Short,140,0.2830936659993312
ECG5000,moment_quant_exact,0.9455407407407408,Short,140,0.3951227090001338
ECG5000,quant,0.9455407407407408,Short,140,0.4833883339997555
ECGFiveDays,moment_quant_approx,0.9887340301974449,Short,136,0.0802083749986194
ECGFiveDays,moment_quant_exact,0.986759581881533,Short,136,0.1880724570000893
ECGFiveDays,quant,0.986759581881533,Short,136,0.1085892500013869
EOGHorizontalSignal,moment_quant_approx,0.7998158379373849,Long,1250,0.3022796659970481
EOGHorizontalSignal,moment_quant_exact,0.839963167587477,Long,1250,0.5709548329978134
EOGHorizontalSignal,quant,0.839963167587477,Long,1250,0.8857710830016003
EOGVerticalSignal,moment_quant_approx,0.7712707182320442,Long,1250,0.304568333998759
EOGVerticalSignal,moment_quant_exact,0.7805709023941069,Long,1250,0.5682458739975118
EOGVerticalSignal,quant,0.7805709023941069,Long,1250,0.8972657910017006
Earthquakes,moment_quant_approx,0.7438848920863309,Medium-long,512,0.1153773750011168
Earthquakes,moment_quant_exact,0.756115107913669,Medium-long,512,0.1271725410006183
Earthquakes,quant,0.756115107913669,Medium-long,512,0.1982703329995274
ElectricDeviceDetection,moment_quant_approx,0.9028839348903044,Medium-short,256,0.4146306250004272
ElectricDeviceDetection,moment_quant_exact,0.9023531493276716,Medium-short,256,0.3759876249969238
ElectricDeviceDetection,quant,0.9023531493276716,Medium-short,256,0.5417277089982235
ElectricDevices,moment_quant_approx,0.8703194570526952,Short,96,1.1696963750000577
ElectricDevices,moment_quant_exact,0.8778757618985864,Short,96,0.5567003750002185
ElectricDevices,quant,0.8778065966368391,Short,96,0.8072915839984489
EthanolLevel,moment_quant_approx,0.8327333333333333,Long,1751,0.4183867499996267
EthanolLevel,moment_quant_exact,0.8262666666666667,Long,1751,1.1420062500001222
EthanolLevel,quant,0.826,Long,1751,1.7712645840038022
FaceAll,moment_quant_approx,0.9504142011834319,Short,131,0.14532541700100401
FaceAll,moment_quant_exact,0.9543786982248521,Short,131,0.20005858299919038
FaceAll,quant,0.9543786982248521,Short,131,0.2125769999984185
FaceFour,moment_quant_approx,0.9041666666666667,Medium-long,350,0.0558033749985042
FaceFour,moment_quant_exact,0.9053030303030304,Medium-long,350,0.0452868749998741
FaceFour,quant,0.9053030303030304,Medium-long,350,0.070866082995053
FacesUCR,moment_quant_approx,0.9060650406504066,Short,131,0.1492618330012191
FacesUCR,moment_quant_exact,0.9025528455284554,Short,131,0.1472820010021678
FacesUCR,quant,0.9025528455284554,Short,131,0.2245784590013499
FiftyWords,moment_quant_approx,0.7711355311355311,Medium-short,270,0.10844725000060851
FiftyWords,moment_quant_exact,0.7710622710622711,Medium-short,270,0.1195840830005181
FiftyWords,quant,0.7710622710622711,Medium-short,270,0.1839600419989437
Fish,moment_quant_approx,0.938857142857143,Medium-long,463,0.0927389170028617
Fish,moment_quant_exact,0.9424761904761905,Medium-long,463,0.16113187500013731
Fish,quant,0.9424761904761905,Medium-long,463,0.1580067090035299
FloodModeling1_disc,moment_quant_approx,0.95,Medium-short,266,0.08690745800049621
FloodModeling1_disc,moment_quant_exact,0.945049504950495,Medium-short,266,0.1024682090028363
FloodModeling1_disc,quant,0.945049504950495,Medium-short,266,0.1429746249959861
FloodModeling2_disc,moment_quant_approx,0.9766169154228856,Medium-short,266,0.0877267500036395
FloodModeling2_disc,moment_quant_exact,0.9766169154228856,Medium-short,266,0.10591916699922871
FloodModeling2_disc,quant,0.9766169154228856,Medium-short,266,0.1439886249972914
FloodModeling3_disc,moment_quant_approx,0.9340579710144927,Medium-short,266,0.0821967080009926
FloodModeling3_disc,moment_quant_exact,0.9269927536231884,Medium-short,266,0.09327433399812429
FloodModeling3_disc,quant,0.9269927536231884,Medium-short,266,0.1298387919960077
FordA,moment_quant_approx,0.9690656565656565,Medium-long,500,0.8489645430017844
FordA,moment_quant_exact,0.9680555555555556,Medium-long,500,1.2892623330008064
FordA,quant,0.9680555555555556,Medium-long,500,2.1032105410013173
FordB,moment_quant_approx,0.9185185185185186,Medium-long,500,0.7744991660001688
FordB,moment_quant_exact,0.9167078189300412,Medium-long,500,1.2171462919977785
FordB,quant,0.9167078189300412,Medium-long,500,1.8897859999997308
FreezerRegularTrain,moment_quant_approx,0.9992748538011696,Medium-short,301,0.3580323329988459
FreezerRegularTrain,moment_quant_exact,0.9994385964912281,Medium-short,301,0.4778743340029904
FreezerRegularTrain,quant,0.9994385964912281,Medium-short,301,0.7845626680027634
FreezerSmallTrain,moment_quant_approx,0.9863859649122807,Medium-short,301,0.3517145410041848
FreezerSmallTrain,moment_quant_exact,0.9963976608187135,Medium-short,301,0.442132208001567
FreezerSmallTrain,quant,0.9963976608187135,Medium-short,301,0.7196384590024535
GestureMidAirD1,moment_quant_approx,0.6933333333333334,Medium-long,360,0.0782278340011543
GestureMidAirD1,moment_quant_exact,0.7105128205128205,Medium-long,360,0.13435741600187612
GestureMidAirD1,quant,0.7105128205128205,Medium-long,360,0.13603279200106028
GestureMidAirD2,moment_quant_approx,0.611025641025641,Medium-long,360,0.07960641699901311
GestureMidAirD2,moment_quant_exact,0.6017948717948719,Medium-long,360,0.1380937089998041
GestureMidAirD2,quant,0.6017948717948719,Medium-long,360,0.1350077500028418
GestureMidAirD3,moment_quant_approx,0.4797435897435897,Medium-long,360,0.0784379569995507
GestureMidAirD3,moment_quant_exact,0.48205128205128206,Medium-long,360,0.1385869169971555
GestureMidAirD3,quant,0.48205128205128206,Medium-long,360,0.1320409580002887
GesturePebbleZ1,moment_quant_approx,0.9102713178294572,Medium-long,455,0.0845588320007663
GesturePebbleZ1,moment_quant_exact,0.9445736434108528,Medium-long,455,0.1528780419976101
GesturePebbleZ1,quant,0.9445736434108528,Medium-long,455,0.1545622920020832
GesturePebbleZ2,moment_quant_approx,0.9111814345991561,Medium-long,455,0.0850678330025402
GesturePebbleZ2,moment_quant_exact,0.9495780590717299,Medium-long,455,0.15279225099584431
GesturePebbleZ2,quant,0.9495780590717299,Medium-long,455,0.16243670899711998
GunPoint,moment_quant_approx,0.9911111111111112,Medium-short,150,0.043965124994429006
GunPoint,moment_quant_exact,0.9919999999999999,Medium-short,150,0.0444617920002201
GunPoint,quant,0.9919999999999999,Medium-short,150,0.05813712500093959
GunPointAgeSpan,moment_quant_approx,0.9891350210970464,Medium-short,150,0.0552905839977028
GunPointAgeSpan,moment_quant_exact,0.9898734177215189,Medium-short,150,0.0978777919990533
GunPointAgeSpan,quant,0.9898734177215189,Medium-short,150,0.076689958001225
GunPointMaleVersusFemale,moment_quant_approx,0.9992616033755275,Medium-short,150,0.0555583329987711
GunPointMaleVersusFemale,moment_quant_exact,0.998945147679325,Medium-short,150,0.1001835429997299
GunPointMaleVersusFemale,quant,0.998945147679325,Medium-short,150,0.0779590410020318
GunPointOldVersusYoung,moment_quant_approx,1.0,Medium-short,150,0.0573247499996796
GunPointOldVersusYoung,moment_quant_exact,1.0,Medium-short,150,0.0980819159995007
GunPointOldVersusYoung,quant,1.0,Medium-short,150,0.0784588749957038
Ham,moment_quant_approx,0.8333333333333334,Medium-long,431,0.0724752089990942
Ham,moment_quant_exact,0.8139682539682539,Medium-long,431,0.0959200840043194
Ham,quant,0.8139682539682539,Medium-long,431,0.1105100410022714
HandOutlines,moment_quant_approx,0.9156756756756756,Long,2709,0.9282905000000027
HandOutlines,moment_quant_exact,0.9225225225225225,Long,2709,2.746692542998062
HandOutlines,quant,0.9225225225225225,Long,2709,4.108049957998446
Haptics,moment_quant_approx,0.5032467532467533,Long,1092,0.20187187499686832
Haptics,moment_quant_exact,0.5173160173160173,Long,1092,0.3021730830005253
Haptics,quant,0.5173160173160173,Long,1092,0.4579108339967206
Herring,moment_quant_approx,0.6197916666666666,Medium-long,512,0.0638192919977882
Herring,moment_quant_exact,0.6151041666666667,Medium-long,512,0.0654587500030174
Herring,quant,0.6151041666666667,Medium-long,512,0.0899809580005239
HouseTwenty,moment_quant_approx,0.9327731092436975,Long,2000,0.1414416669977071
HouseTwenty,moment_quant_exact,0.9672268907563025,Long,2000,0.2194052910017489
HouseTwenty,quant,0.9672268907563025,Long,2000,0.360674415998801
InlineSkate,moment_quant_approx,0.5988484848484849,Long,1882,0.3465426659968215
InlineSkate,moment_quant_exact,0.5789090909090909,Long,1882,0.8641506249987287
InlineSkate,quant,0.5789090909090909,Long,1882,1.432616998998128
InsectEPGRegularTrain,moment_quant_approx,1.0,Medium-long,601,0.10811149900109729
