Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
ECG200,test,100,96,moment_quant_approx_auto,3,0.018924165997304954
ECG200,train,100,96,moment_quant_approx_intervals,4,0.026204458001302555
ECG200,test,100,96,moment_quant_approx_intervals,4,0.02488029199957964
ECG200,train,100,96,moment_quant_approx_auto,7,0.020223125000484288
ECG200,test,100,96,moment_quant_approx_auto,7,0.01902699999845936
ECG200,train,100,96,moment_quant_exact_samples,0,0.01952841599995736
ECG200,test,100,96,moment_quant_exact_samples,0,0.01805008299925248
ECG200,train,100,96,moment_quant_exact_samples,3,0.01977683400036767
ECG200,test,100,96,moment_quant_exact_samples,3,0.018100791003234917
Wafer,train,1000,152,moment_quant_exact_auto,8,0.06455983300111257
Wafer,test,6164,152,moment_quant_exact_auto,8,0.40044166699954076
Wafer,train,1000,152,moment_quant_approx_intervals,6,0.08261237500119023
Wafer,test,6164,152,moment_quant_approx_intervals,6,0.5087352500013367
Wafer,train,1000,152,moment_quant_exact_samples,5,0.21909437499925843
Wafer,test,6164,152,moment_quant_exact_samples,5,1.3526323750011215
Wafer,train,1000,152,moment_quant_exact_auto,6,0.06963408299998264
Wafer,test,6164,152,moment_quant_exact_auto,6,0.4418097910020151
Wafer,train,1000,152,moment_quant_exact_samples,6,0.22335170799851767
Wafer,test,6164,152,moment_quant_exact_samples,6,1.4120447909990617
Wafer,train,1000,152,moment_quant_exact_auto,2,0.06502824999915902
Wafer,test,6164,152,moment_quant_exact_auto,2,0.4070792499987874
Wafer,train,1000,152,moment_quant_exact_intervals,3,0.06948804200146697
Wafer,test,6164,152,moment_quant_exact_intervals,3,0.4336961249973683
Wafer,train,1000,152,moment_quant_exact_intervals,2,0.06622862500080373
Wafer,test,6164,152,moment_quant_exact_intervals,2,0.41732370799945784
Wafer,train,1000,152,quant_float64,0,0.0984546669969859
Wafer,test,6164,152,quant_float64,0,0.5589177499969082
Wafer,train,1000,152,moment_quant_approx_intervals,5,0.08616187499865191
Wafer,test,6164,152,moment_quant_approx_intervals,5,0.4691254579993256
Wafer,train,1000,152,moment_quant_exact_samples,4,0.2280300000020361
Wafer,test,6164,152,moment_quant_exact_samples,4,1.361329833001946
Wafer,train,1000,152,moment_quant_exact_samples,7,0.22666708299948368
Wafer,test,6164,152,moment_quant_exact_samples,7,1.3794052500015823
Wafer,train,1000,152,quant_float64,5,0.10055554100108566
Wafer,test,6164,152,quant_float64,5,0.5619011669987231
Wafer,train,1000,152,moment_quant_exact_intervals,5,0.06944220799778122
Wafer,test,6164,152,moment_quant_exact_intervals,5,0.4201402500002587
Wafer,train,1000,152,quant_float64,7,0.09598099999857368
Wafer,test,6164,152,quant_float64,7,0.5843694169998344
Wafer,train,1000,152,moment_quant_exact_samples,1,0.2271089169989864
Wafer,test,6164,152,moment_quant_exact_samples,1,1.3783811249995779
Wafer,train,1000,152,moment_quant_approx_auto,8,0.07108637499914039
Wafer,test,6164,152,moment_quant_approx_auto,8,0.5431526659995143
Wafer,train,1000,152,moment_quant_exact_intervals,1,0.06945166700097616
Wafer,test,6164,152,moment_quant_exact_intervals,1,0.45442308400015463
Wafer,train,1000,152,moment_quant_approx_auto,5,0.07007666600111406
Wafer,test,6164,152,moment_quant_approx_auto,5,0.5432267500000307
Wafer,train,1000,152,moment_quant_exact_intervals,7,0.07040291699740919
Wafer,test,6164,152,moment_quant_exact_intervals,7,0.4353334170009475
Wafer,train,1000,152,moment_quant_approx_auto,0,0.0675718330021482
Wafer,test,6164,152,moment_quant_approx_auto,0,0.49230079100016155
Wafer,train,1000,152,quant_float64,9,0.09648445899802027
Wafer,test,6164,152,quant_float64,9,0.5680015420002746
Wafer,train,1000,152,moment_quant_approx_samples,3,0.06861854199814843
Wafer,test,6164,152,moment_quant_approx_samples,3,0.3381209580002178
