Dataset,Resample,Estimator,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1,Runtime,Runtime_FeatureExtractionTrain,Runtime_ClassifierFit,Runtime_FeatureExtractionTest,Runtime_Prediction
ACSF1,8,moment_quant_exact,0.86,0.86,0.5685095686926762,0.9821666666666666,0.8589471936059633,0.4599664160050452,0.03702637500828132,0.30016329100180883,0.03519233399129007,0.08758441600366496
ACSF1,8,moment_quant_approx,0.81,0.8099999999999999,0.9680875917145945,0.9756111111111112,0.8104327256178111,0.43328741600271314,0.04838716599624604,0.3246297089935979,0.04420500001288019,0.016065540999989025
ACSF1,8,quant,0.86,0.86,0.5685095686926762,0.9821666666666666,0.8589471936059633,0.600771707991953,0.1396490829938557,0.306398500004434,0.13896195800043643,0.015762166993226856
ACSF1,9,moment_quant_exact,0.79,0.7899999999999999,1.700152484416351,0.9544999999999999,0.7940150675067892,0.3707045410119463,0.03891958300664555,0.2778384169942001,0.03668020800978411,0.017266333001316525
ACSF1,9,moment_quant_approx,0.76,0.76,1.128552190164094,0.9565,0.7657723229642734,0.3871582919964567,0.047758583998074755,0.27853887499077246,0.04395070800092071,0.01691012500668876
ACSF1,9,quant,0.79,0.7899999999999999,1.700152484416351,0.9544999999999999,0.7940150675067892,0.5705946249945555,0.14176487499207724,0.2758955000026617,0.13959391599928495,0.013340334000531584
ACSF1,10,moment_quant_exact,0.79,0.79,1.3231180908393905,0.9672222222222223,0.7847737203195543,0.3646620409999741,0.036176124995108694,0.2780391660053283,0.03322341700550169,0.017223332994035445
ACSF1,10,moment_quant_approx,0.77,0.77,0.8243791637790525,0.9577222222222223,0.7668094478620795,0.400117458004388,0.048148040994419716,0.29245074999926146,0.04623829200863838,0.013280375002068467
ACSF1,10,quant,0.79,0.79,1.3231180908393905,0.9672222222222223,0.7847737203195543,0.5770772910036612,0.139344124996569,0.2826527500001248,0.13784495799336582,0.0172354580136016
ACSF1,11,moment_quant_exact,0.81,0.8099999999999999,1.0507049089406273,0.9587777777777778,0.8009266000970807,0.3718970000045374,0.03962841699831188,0.2808144159935182,0.03419850001228042,0.01725566700042691
ACSF1,11,moment_quant_approx,0.76,0.76,0.7564492963116328,0.9615,0.7544529142355227,0.401513792006881,0.0477795829938259,0.28918079200957436,0.04740666699944995,0.017146750004030764
ACSF1,11,quant,0.81,0.8099999999999999,1.0507049089406273,0.9587777777777778,0.8009266000970807,0.574819708999712,0.1402325000090059,0.2783689170028083,0.13922254199860618,0.016995749989291653
ACSF1,12,moment_quant_exact,0.84,0.8400000000000001,0.5170105020832456,0.9877222222222223,0.8381370091896406,0.39546612500271294,0.03730329099926166,0.3066059170087101,0.03440716699697077,0.017149749997770414
ACSF1,12,moment_quant_approx,0.82,0.82,0.633710577099354,0.9782777777777778,0.8183672192960119,0.4139187499968102,0.046035166989895515,0.30555641700630076,0.04513816599501297,0.017189000005600974
ACSF1,12,quant,0.84,0.8400000000000001,0.5170105020832456,0.9877222222222223,0.8381370091896406,0.594182708999142,0.14017562501248904,0.2991606249997858,0.1377585839945823,0.017087874992284924
ACSF1,13,moment_quant_exact,0.86,0.86,0.8637316554460851,0.9826666666666667,0.8512265512265512,0.3893749169947114,0.03825395899184514,0.30332770801032893,0.03478787498897873,0.013005375003558584
ACSF1,13,moment_quant_approx,0.74,0.74,1.3720290404199156,0.9638333333333334,0.7273235361130098,0.4009250829985831,0.04637637500127312,0.29531745800341014,0.04633441699843388,0.012896832995465957
ACSF1,13,quant,0.86,0.86,0.8637316554460851,0.9826666666666667,0.8512265512265512,0.5910626659897389,0.1418287499982398,0.2969332079956075,0.13863304200640414,0.013667665989487432
ACSF1,14,moment_quant_exact,0.84,0.8400000000000001,0.5403354041359671,0.9891666666666667,0.8390702012723819,0.3865020000084769,0.037412375007988885,0.2976110829913523,0.03452079200360458,0.016957750005531125
ACSF1,14,moment_quant_approx,0.78,0.78,0.6433931948570297,0.976388888888889,0.7794178521557711,0.4253545420069713,0.04675574999419041,0.31521079200319946,0.046246249999967404,0.017141750009614043
ACSF1,14,quant,0.84,0.8400000000000001,0.5403354041359671,0.9891666666666667,0.8390702012723819,0.5924266669899225,0.14047391699568834,0.2962962919991696,0.13867316600226332,0.01698329199280124
ACSF1,15,moment_quant_exact,0.79,0.79,1.2778399179923998,0.9661111111111111,0.7831745016847319,0.37844483299704734,0.03664195799501613,0.29037712499848567,0.0342019999952754,0.017223750008270144
ACSF1,15,moment_quant_approx,0.75,0.75,1.0941389833352044,0.9581111111111111,0.7436309176607332,0.38684575000661425,0.04818791699653957,0.2814396250032587,0.043896415998460725,0.01332179200835526
ACSF1,15,quant,0.79,0.79,1.2778399179923998,0.9661111111111111,0.7831745016847319,0.5879967499931809,0.1396137080009794,0.2916221250052331,0.13931224998668768,0.017448667000280693
ACSF1,16,moment_quant_exact,0.75,0.75,1.4895297495103264,0.9555555555555557,0.7418907339650374,0.3583837080077501,0.03700929200567771,0.2757273329916643,0.03262270800769329,0.013024375002714805
ACSF1,16,moment_quant_approx,0.64,0.64,0.9703902323278496,0.9532777777777777,0.6270319738740792,0.3864965839893557,0.04890133399749175,0.27567324999836273,0.04469220800092444,0.017229791992576793
ACSF1,16,quant,0.75,0.75,1.4895297495103264,0.9555555555555557,0.7418907339650374,0.5800757090037223,0.14088866701058578,0.28244770799938124,0.13992620899807662,0.016813124995678663
ACSF1,17,moment_quant_exact,0.85,0.85,0.5497949126642301,0.9864444444444445,0.8434806111613219,0.39952166700095404,0.03718087500601541,0.3121567079942906,0.033165166998514906,0.017018917002133094
ACSF1,17,moment_quant_approx,0.79,0.7899999999999999,0.6251276185223807,0.9788888888888888,0.7876228449912659,0.43005983300099615,0.048179707999224775,0.3175364999915473,0.047107500009587966,0.017236125000636093
ACSF1,17,quant,0.85,0.85,0.5497949126642301,0.9864444444444445,0.8434806111613219,0.6207067079958506,0.14061250000668224,0.3204709580022609,0.14235949999419972,0.017263749992707744
ACSF1,18,moment_quant_exact,0.78,0.78,1.9620969244259505,0.9530000000000001,0.773362509583266,0.3767801670037443,0.036890999996103346,0.2883208330022171,0.03454700000293087,0.01702133400249295
ACSF1,18,moment_quant_approx,0.74,0.74,1.6748305921074844,0.9517777777777777,0.7257966916050104,0.40965249999135267,0.04740758299885783,0.2998834999889368,0.04525450000073761,0.01710691700282041
ACSF1,18,quant,0.78,0.78,1.9620969244259505,0.9530000000000001,0.773362509583266,0.5876385000010487,0.13931245800631586,0.29179554199799895,0.13917916599893942,0.017351333997794427
ACSF1,19,moment_quant_exact,0.78,0.78,0.6354469303999505,0.975,0.7800050259338184,0.3881977499986533,0.03727683299803175,0.30086237500654534,0.03295966699079145,0.017098875003284775
ACSF1,19,moment_quant_approx,0.75,0.7500000000000001,0.7971577946104721,0.958,0.7455535843961326,0.408808082996984,0.047398333001183346,0.29858795799373183,0.04585212499659974,0.01696966700546909
ACSF1,19,quant,0.78,0.78,0.6354469303999505,0.975,0.7800050259338184,0.5937613329879241,0.14090691599994898,0.29416137500084005,0.14119858399499208,0.017494457992142998
ACSF1,20,moment_quant_exact,0.77,0.7699999999999999,0.6253448965565699,0.9768888888888889,0.7705430242272346,0.38553912501083687,0.038083834006101824,0.3011917080002604,0.03337554199970327,0.012888041004771367
ACSF1,20,moment_quant_approx,0.82,0.82,0.7016189384623012,0.9669444444444444,0.8156410848092098,0.4129068750044098,0.0468176249996759,0.3030319590034196,0.0461231250083074,0.0169341659930069
