l,Variant,Run,Runtime
4,keyvalue,36,6.165025000154856e-07
128,direct,35,1.2448665998817886e-06
4,indirect,22,6.282516600185772e-07
32,direct,32,5.284354499963229e-07
2048,direct,23,2.373770999838598e-05
32768,keyvalue,27,0.001964458333380511
4096,indirect,33,0.0002050141700055974
2048,direct,7,7.876499999838415e-05
256,keyvalue,25,2.84547899991594e-06
256,keyvalue,10,2.8040625002176967e-06
32768,keyvalue,0,0.0019931562499853803
4096,indirect,12,0.00021083999999973457
4,direct,13,3.715933400235372e-07
4,indirect,12,5.937475000246195e-07
512,indirect,30,6.091582999943057e-06
8192,direct,16,0.00037164166002185084
4096,direct,32,0.00014852166999844484
256,indirect,39,3.186083499713277e-06
16384,indirect,6,0.0010929566800041356
8,indirect,39,6.357141599801252e-07
512,direct,14,4.637666999769863e-06
1048576,direct,6,0.08243791700078873
8192,indirect,20,0.0004650441800185945
64,indirect,15,1.1514540999996824e-06
16384,direct,31,0.0008647633199871052
1024,keyvalue,6,1.1053334001189796e-05
8192,direct,35,0.00039175582001917065
8192,indirect,28,0.0004962874999910128
16384,keyvalue,16,0.0009184749999985798
256,direct,20,2.239812499283289e-06
1024,indirect,11,1.2598749999597202e-05
16,keyvalue,14,7.18052766690865e-07
4,keyvalue,37,6.046383399734623e-07
64,direct,3,7.025249999060179e-07
1024,direct,9,9.322582001914271e-06
8,direct,13,3.70897499997227e-07
512,indirect,15,6.053499999325141e-06
4096,indirect,38,0.0001981254200109106
32768,indirect,36,0.002378406250045373
512,indirect,28,5.953208001301391e-06
4096,indirect,17,0.00017358708000756451
512,direct,15,4.704166000010446e-06
4096,keyvalue,8,0.00019058249999943656
8,indirect,38,6.543524999869988e-07
512,indirect,34,6.24779200006742e-06
256,direct,7,2.2202914997251355e-06
128,direct,28,1.2683831999311223e-06
256,direct,28,2.3228960008054857e-06
2048,keyvalue,37,4.447895499652077e-05
256,indirect,7,3.2504584996786436e-06
8192,indirect,10,0.0004885666600239347
512,direct,21,4.771750000145403e-06
1024,keyvalue,31,1.587124999787193e-05
32,indirect,17,8.227145999626373e-07
64,direct,24,7.081208999807131e-07
4096,direct,36,0.00012379791998682777
1024,keyvalue,20,1.2880082002084236e-05
8192,indirect,3,0.0005020049999802722
8,direct,37,3.8595168000028936e-07
4194304,direct,2,0.3604254170004424
65536,indirect,6,0.005176979166511349
32,direct,22,5.154082999979437e-07
1024,indirect,6,1.256233399908524e-05
32768,keyvalue,38,0.002028840250053084
4,keyvalue,10,6.077458200161345e-07
32768,indirect,34,0.002391791666620217
32768,keyvalue,12,0.0020274930833087033
512,indirect,29,5.942540999967605e-06
4194304,direct,11,0.36273629199968127
4096,direct,37,0.0001570404199992481
32,keyvalue,4,7.930832999591075e-07
128,direct,8,1.1740084002667572e-06
128,indirect,34,1.740441599758924e-06
16,direct,35,4.4609306666340367e-07
128,indirect,32,1.8260084001667564e-06
32,direct,36,5.346812500647502e-07
256,keyvalue,30,2.817958499690576e-06
32,keyvalue,29,8.173312499820895e-07
8192,indirect,1,0.00046495250000589295
16384,indirect,7,0.001080563319992507
16,indirect,24,7.023722333542536e-07
32,direct,4,5.286312500174972e-07
1024,keyvalue,33,1.089499999943655e-05
8,keyvalue,13,6.089808200340485e-07
4,keyvalue,3,6.071399999927962e-07
8,direct,22,3.904666800008272e-07
64,indirect,2,1.0960583000269252e-06
256,keyvalue,0,2.780541999527486e-06
16384,keyvalue,6,0.0009333516799961217
2048,direct,16,5.03133349957352e-05
32,direct,7,5.065145500338986e-07
4096,direct,24,0.00012860957998782395
1024,direct,12,1.1800415999459801e-05
32768,keyvalue,6,0.0019986631667355446
512,indirect,32,6.030874999851221e-06
128,keyvalue,6,1.6339249999873574e-06
2048,indirect,39,3.022124999915832e-05
1048576,keyvalue,9,0.08868262500072888
2048,keyvalue,28,6.0009999997419073e-05
4,indirect,37,6.13931660009257e-07
1024,indirect,7,1.2495082002715207e-05
16384,indirect,29,0.0011136000000260538
65536,direct,8,0.0039963055002469145
4096,indirect,2,0.00021504542000911898
4096,keyvalue,5,0.00019361958000445158
8192,direct,24,0.0003837375000148313
8192,indirect,12,0.0004566275000252062
1024,keyvalue,4,1.1980584000411908e-05
4096,indirect,26,0.00015692000000854021
256,direct,14,2.239541499875486e-06
16384,keyvalue,32,0.0009607816400239244
32,indirect,28,8.331603999977233e-07
2048,keyvalue,25,3.085000000282889e-05
4096,keyvalue,17,0.000136789169991971
32,keyvalue,18,8.046000000831554e-07
4,direct,31,3.6571334003383526e-07
256,indirect,28,3.241250000428408e-06
1024,indirect,22,1.218766800229787e-05
8,indirect,13,6.277908400079468e-07
16,keyvalue,6,7.36312500036244e-07
8,keyvalue,14,6.255091799903312e-07
1048576,direct,5,0.08196312500149361
8,keyvalue,2,6.145366599957925e-07
8192,keyvalue,24,0.0004712149999977555
4,direct,4,3.5259084001154404e-07
4096,indirect,35,0.00019487999999910245
4,keyvalue,21,6.121616599921253e-07
16,keyvalue,27,7.145666666474427e-07
128,indirect,18,1.7366999996738741e-06
2048,indirect,25,3.1577500003550085e-05
256,direct,29,2.2580830000151765e-06
32768,keyvalue,20,0.0020781875000466243
128,indirect,37,1.7547581999679096e-06
2048,direct,27,5.2777079999941635e-05
1024,keyvalue,3,1.0940665997623e-05
64,direct,25,7.075999999869964e-07
16,indirect,31,7.085930667017237e-07
32,direct,13,5.195853999794053e-07
128,keyvalue,33,1.6619916001218372e-06
8192,keyvalue,26,0.0004360149999774876
16384,keyvalue,1,0.0009350750000157859
2048,indirect,4,9.439874999770836e-05
8,indirect,33,6.264458399891736e-07
2048,keyvalue,16,4.568374999507796e-05
32768,keyvalue,3,0.0020226493334121187
8192,direct,23,0.00041091416002018375
32,direct,35,5.388812499404594e-07
512,direct,10,4.485041999942041e-06
4096,direct,30,0.00017732750000504894
256,keyvalue,1,2.855479499885405e-06
64,keyvalue,26,1.0361541999373003e-06
1024,indirect,38,1.2458000001061009e-05
65536,direct,4,0.004109083333484402
512,indirect,2,5.9930419993179385e-06
2048,direct,17,2.982728999995743e-05
16384,indirect,35,0.001095993319977424
32,keyvalue,25,8.114666499750456e-07
4096,direct,33,0.00017364166998959263
65536,direct,3,0.003950979166802426
32768,indirect,30,0.0023824166666296756
64,direct,13,7.119166000848053e-07
2048,direct,14,5.480437499500113e-05
8192,keyvalue,33,0.0004129433200068888
8,keyvalue,36,6.365899999946122e-07
8,direct,6,3.598041599980206e-07
16384,direct,18,0.0008807583599991631
4,direct,9,3.510666599686374e-07
32,indirect,6,7.844895999369328e-07
16,direct,19,4.406999999749435e-07
4096,indirect,11,0.00016155874998730724
256,keyvalue,5,2.7447500006019256e-06
32768,keyvalue,15,0.0020304583332896677
32,direct,27,5.033104500398622e-07
16384,keyvalue,25,0.0009433516800345387
32768,indirect,21,0.002423940999960905
32,direct,1,4.923999999846273e-07
256,keyvalue,9,2.9303125002115848e-06
4,direct,22,3.5936666001362027e-07
262144,direct,2,0.018630333000146493
32,direct,26,5.191479000131949e-07
32,keyvalue,17,8.22008300019661e-07
4096,indirect,15,0.0001602262500091456
256,keyvalue,23,2.809104000334628e-06
4,direct,33,3.611958400142612e-07
8,direct,0,3.850258400052553e-07
512,indirect,31,6.2876249994587855e-06
256,keyvalue,35,2.7099584995085025e-06
1024,keyvalue,7,1.1018165998393669e-05
8,direct,14,3.820416799862869e-07
4096,keyvalue,30,0.00017783958001018618
512,keyvalue,11,5.550125000809203e-06
32,direct,8,5.041750000600587e-07
128,indirect,13,1.8079918001603802e-06
2048,keyvalue,18,3.452145999290224e-05
4096,direct,7,0.00017628249999688706
4,keyvalue,19,6.150041599903489e-07
4096,indirect,27,0.00017572708000443527
8192,keyvalue,16,0.0004552925000098185
2048,direct,28,6.657146000179636e-05
256,indirect,25,3.164749999996275e-06
512,indirect,33,6.236250001165899e-06
8,indirect,35,6.349491600121837e-07
128,direct,2,1.2283331998332869e-06
16,keyvalue,0,7.290944666844249e-07
32768,keyvalue,31,0.002175031250014096
1024,indirect,5,1.4973082001233707e-05
2048,indirect,38,3.1129375001910377e-05
8192,keyvalue,29,0.0003826000000117347
1024,keyvalue,8,1.1321583999233553e-05
256,direct,35,2.1750209998572244e-06
4096,keyvalue,2,0.0001352779099943291
4,keyvalue,18,5.995933200028958e-07
64,direct,6,6.832875000327476e-07
16,direct,28,4.390055666590342e-07
32768,keyvalue,34,0.002085843749985846
1024,direct,35,1.1226999999053078e-05
32,direct,16,4.854521000197565e-07
8,indirect,17,6.226949999836506e-07
