Series length,Number of samples,Estimator,Runtime_multi,Runtime_per_sample
256,10000,moment_quant_approx_intervals,1.4089707080020162,0.00014089707080020163
384,1,moment_quant_approx_intervals,0.0252704170015931,0.0252704170015931
384,2,moment_quant_approx_intervals,0.0259135420019447,0.01295677100097235
384,3,moment_quant_approx_intervals,0.0261296669996227,0.008709888999874233
384,4,moment_quant_approx_intervals,0.0262867920027929,0.006571698000698225
384,8,moment_quant_approx_intervals,0.0266525420011021,0.0033315677501377624
384,10,moment_quant_approx_intervals,0.0267939590012247,0.00267939590012247
384,16,moment_quant_approx_intervals,0.0274832909999531,0.0017177056874970687
384,30,moment_quant_approx_intervals,0.0284699160001764,0.00094899720000588
384,32,moment_quant_approx_intervals,0.0287049580001621,0.0008970299375050656
384,64,moment_quant_approx_intervals,0.0322225409981911,0.0005034772030967359
384,100,moment_quant_approx_intervals,0.0361035000023548,0.000361035000023548
384,300,moment_quant_approx_intervals,0.0567172089977248,0.00018905736332574933
384,1000,moment_quant_approx_intervals,0.1374387920004665,0.0001374387920004665
384,3000,moment_quant_approx_intervals,0.4053837499996007,0.00013512791666653355
384,10000,moment_quant_approx_intervals,2.203153416998248,0.00022031534169982477
512,1,moment_quant_approx_intervals,0.025583833001292,0.025583833001292
512,2,moment_quant_approx_intervals,0.0264583339994715,0.01322916699973575
512,3,moment_quant_approx_intervals,0.0268357909990299,0.0089452636663433
512,4,moment_quant_approx_intervals,0.0268608329970447,0.006715208249261175
512,8,moment_quant_approx_intervals,0.027334417001839,0.003416802125229875
512,10,moment_quant_approx_intervals,0.027683333002642,0.0027683333002641998
512,16,moment_quant_approx_intervals,0.0282492080004885,0.0017655755000305312
512,30,moment_quant_approx_intervals,0.0297050000008312,0.0009901666666943733
512,32,moment_quant_approx_intervals,0.0300974579986359,0.0009405455624573719
512,64,moment_quant_approx_intervals,0.0349491250017308,0.0005460800781520438
512,100,moment_quant_approx_intervals,0.0398625000016181,0.00039862500001618096
512,300,moment_quant_approx_intervals,0.0638854169992555,0.00021295138999751832
512,1000,moment_quant_approx_intervals,0.1627986249986861,0.0001627986249986861
512,3000,moment_quant_approx_intervals,0.4783561670010385,0.00015945205566701283
512,10000,moment_quant_approx_intervals,2.4826617910002824,0.00024826617910002824
768,1,moment_quant_approx_intervals,0.0287124999995285,0.0287124999995285
768,2,moment_quant_approx_intervals,0.0297272909992898,0.0148636454996449
768,3,moment_quant_approx_intervals,0.0300742500003252,0.0100247500001084
768,4,moment_quant_approx_intervals,0.0302907499972207,0.007572687499305175
768,8,moment_quant_approx_intervals,0.0309459170021,0.0038682396252625
768,10,moment_quant_approx_intervals,0.0310308329972031,0.0031030832997203097
768,16,moment_quant_approx_intervals,0.0320382919999246,0.0020023932499952874
768,30,moment_quant_approx_intervals,0.0348719590001564,0.0011623986333385466
768,32,moment_quant_approx_intervals,0.0355282079981407,0.001110256499941897
768,64,moment_quant_approx_intervals,0.0407677089970093,0.0006369954530782703
768,100,moment_quant_approx_intervals,0.0471735409992106,0.00047173540999210606
768,300,moment_quant_approx_intervals,0.0852067910018377,0.0002840226366727923
768,1000,moment_quant_approx_intervals,0.224952000000485,0.000224952000000485
768,3000,moment_quant_approx_intervals,0.7741638329971465,0.00025805461099904885
768,10000,moment_quant_approx_intervals,3.9478810420005175,0.0003947881042000518
1024,1,moment_quant_approx_intervals,0.0287586659978842,0.0287586659978842
1024,2,moment_quant_approx_intervals,0.029895250001573,0.0149476250007865
1024,3,moment_quant_approx_intervals,0.0304417079969425,0.010147235998980833
1024,4,moment_quant_approx_intervals,0.0305187500016472,0.0076296875004118
1024,8,moment_quant_approx_intervals,0.0313449589993979,0.003918119874924737
1024,10,moment_quant_approx_intervals,0.0317529999992984,0.00317529999992984
1024,16,moment_quant_approx_intervals,0.0331572920003964,0.002072330750024775
1024,30,moment_quant_approx_intervals,0.0363174580015766,0.0012105819333858867
1024,32,moment_quant_approx_intervals,0.0363890000007813,0.0011371562500244157
1024,64,moment_quant_approx_intervals,0.0452375409986416,0.000706836578103775
1024,100,moment_quant_approx_intervals,0.0503669999998237,0.000503669999998237
1024,300,moment_quant_approx_intervals,0.0969897499999206,0.000323299166666402
1024,1000,moment_quant_approx_intervals,0.2602533330027654,0.0002602533330027654
1024,3000,moment_quant_approx_intervals,0.9349932090008224,0.0003116644030002741
1024,10000,moment_quant_approx_intervals,4.570352624999941,0.00045703526249999413
1536,1,moment_quant_approx_intervals,0.0291619169984187,0.0291619169984187
1536,2,moment_quant_approx_intervals,0.0304306660000293,0.01521533300001465
1536,3,moment_quant_approx_intervals,0.0310547079971001,0.0103515693323667
1536,4,moment_quant_approx_intervals,0.0312840829974447,0.007821020749361175
1536,8,moment_quant_approx_intervals,0.0324209579994203,0.004052619749927537
1536,10,moment_quant_approx_intervals,0.0328626250011439,0.00328626250011439
1536,16,moment_quant_approx_intervals,0.0353916249987378,0.0022119765624211123
1536,30,moment_quant_approx_intervals,0.0396512919978704,0.0013217097332623468
1536,32,moment_quant_approx_intervals,0.041303665999294,0.0012907395624779374
1536,64,moment_quant_approx_intervals,0.049018875000911,0.0007659199218892343
1536,100,moment_quant_approx_intervals,0.0585092080000322,0.0005850920800003221
1536,300,moment_quant_approx_intervals,0.1269305829991935,0.000423101943330645
1536,1000,moment_quant_approx_intervals,0.4023237500005052,0.00040232375000050517
1536,3000,moment_quant_approx_intervals,1.442113083001459,0.0004807043610004863
1536,10000,moment_quant_approx_intervals,7.176684416997887,0.0007176684416997887
2048,1,moment_quant_approx_intervals,0.0294226670011994,0.0294226670011994
2048,2,moment_quant_approx_intervals,0.0307890410003892,0.0153945205001946
2048,3,moment_quant_approx_intervals,0.0313575000000128,0.010452500000004266
2048,4,moment_quant_approx_intervals,0.031869792001089,0.00796744800027225
2048,8,moment_quant_approx_intervals,0.0332795840004109,0.004159948000051363
2048,10,moment_quant_approx_intervals,0.0344320840013097,0.0034432084001309697
2048,16,moment_quant_approx_intervals,0.0367439170004217,0.002296494812526356
2048,30,moment_quant_approx_intervals,0.0416513749987643,0.0013883791666254766
2048,32,moment_quant_approx_intervals,0.0432769159997405,0.0013524036249918906
2048,64,moment_quant_approx_intervals,0.052474041996902,0.0008199069062015937
2048,100,moment_quant_approx_intervals,0.07205362500099,0.0007205362500099
2048,300,moment_quant_approx_intervals,0.1544117079974967,0.0005147056933249891
