Series length,Number of samples,Estimator,Runtime_single,Runtime_multi,Speedup
384,100,moment_quant_approx_samples,0.0317204160000983,0.028668374998233,1.1064602022979473
384,300,moment_quant_approx_samples,0.0550904579999951,0.0391077499989478,1.408683905401802
384,1000,moment_quant_approx_samples,0.1348781249998865,0.0789730840006086,1.7078999346010988
384,3000,moment_quant_approx_samples,0.3635269169999446,0.2020482910011196,1.799208076439163
384,10000,moment_quant_approx_samples,1.4187723750001169,0.8490223750013683,1.671065942164163
512,1,moment_quant_approx_samples,0.021443041999646,0.0218710839981213,0.9804288622131364
512,3,moment_quant_approx_samples,0.0227337920000536,0.0229414999994332,0.9909461892472273
512,10,moment_quant_approx_samples,0.0237368749999404,0.0236463750006805,1.0038272250718046
512,30,moment_quant_approx_samples,0.0265266249998603,0.0248820839988184,1.066093378718599
512,100,moment_quant_approx_samples,0.0378460000001723,0.0308740830005262,1.2258177837873685
512,300,moment_quant_approx_samples,0.0668931670002166,0.0466036670004541,1.435362736575317
512,1000,moment_quant_approx_samples,0.1737199170001986,0.1002999580014147,1.7320038857618298
512,3000,moment_quant_approx_samples,0.4894946250001339,0.2696049170008336,1.8155997688967238
512,10000,moment_quant_approx_samples,1.8679445420002592,1.1620528750027006,1.6074522787923209
768,1,moment_quant_approx_samples,0.0244975409996186,0.0250070839974796,0.9796240538116179
768,3,moment_quant_approx_samples,0.0260999170004652,0.0262926670002343,0.9926690586478967
768,10,moment_quant_approx_samples,0.0274842919998263,0.0269591249998484,1.0194801203666979
768,30,moment_quant_approx_samples,0.0317964590003612,0.0291371670027729,1.0912680356788025
768,100,moment_quant_approx_samples,0.0468380410002282,0.0388909590001276,1.20434265969308
768,300,moment_quant_approx_samples,0.0910278330002256,0.0597447500003909,1.5236122504425915
768,1000,moment_quant_approx_samples,0.2475538750004489,0.133971625000413,1.8478082579030128
768,3000,moment_quant_approx_samples,0.7271181249998335,0.3932155830007104,1.8491589764857306
768,10000,moment_quant_approx_samples,2.7931183749997217,1.6461190420013736,1.6967900277757622
1024,1,moment_quant_approx_samples,0.0247673339999892,0.0250267079973127,0.9896361120547157
1024,3,moment_quant_approx_samples,0.0265943750000587,0.0266108329997223,0.9993815300834901
1024,10,moment_quant_approx_samples,0.0284279590005098,0.0274667499979841,1.03499536722023
1024,30,moment_quant_approx_samples,0.0343280420001974,0.0301624999992782,1.1381033402741445
1024,100,moment_quant_approx_samples,0.0549541669997779,0.0422780420012713,1.2998276267885214
1024,300,moment_quant_approx_samples,0.1130316659991876,0.0691660830016189,1.634206551736376
1024,1000,moment_quant_approx_samples,0.3205643749997762,0.166126666998025,1.9296382741705593
1024,3000,moment_quant_approx_samples,0.9617115410001134,0.4943842909997329,1.9452712363804312
1024,10000,moment_quant_approx_samples,3.6715997499995865,2.0843578339990927,1.7615016433887354
1536,1,moment_quant_approx_samples,0.0250820000001112,0.0255487079994054,0.9817326183654742
1536,3,moment_quant_approx_samples,0.027221625000493,0.0271961670005111,1.000936087794336
1536,10,moment_quant_approx_samples,0.030091583000285,0.028390292001859,1.059925096871656
1536,30,moment_quant_approx_samples,0.0384205840000504,0.0326999580029223,1.1749429157253615
1536,100,moment_quant_approx_samples,0.069314375000431,0.0443376250004803,1.5633308053753472
1536,300,moment_quant_approx_samples,0.1570794999997815,0.0865697919980448,1.814483971537429
1536,1000,moment_quant_approx_samples,0.4612879160004013,0.2232611250001355,2.0661363056381683
1536,3000,moment_quant_approx_samples,1.4330314170001657,0.7144546669987903,2.005769551509686
1536,10000,moment_quant_approx_samples,5.531780041999809,3.0649275000032503,1.8048648922344632
2048,1,moment_quant_approx_samples,0.0254294580008718,0.0257759170017379,0.9865588098827778
2048,3,moment_quant_approx_samples,0.0280057910003961,0.0276074579996929,1.0144284562782864
2048,10,moment_quant_approx_samples,0.0317892500006564,0.0293174160033231,1.0843128192830198
2048,30,moment_quant_approx_samples,0.0430068330006179,0.0337591250026889,1.2739320997565082
2048,100,moment_quant_approx_samples,0.082359208001435,0.058752666998771,1.4017952240901304
2048,300,moment_quant_approx_samples,0.200108041999556,0.1009782500004803,1.9816944936023768
2048,1000,moment_quant_approx_samples,0.621989917000974,0.3019192499996279,2.060120104967605
2048,3000,moment_quant_approx_samples,1.914231875000041,0.9493572499995936,2.0163451377243504
2048,10000,moment_quant_approx_samples,7.311453166999854,3.988180208998529,1.8332805399573033
4096,1,moment_quant_approx_samples,0.0263959580006485,0.0268972499980009,0.9813627044627367
4096,3,moment_quant_approx_samples,0.0299915840005269,0.0292430419976881,1.0255972686732788
4096,10,moment_quant_approx_samples,0.0376528749984572,0.0324525409996567,1.1602442779089475
4096,30,moment_quant_approx_samples,0.0605534579990489,0.0427672500009066,1.4158838362944837
4096,100,moment_quant_approx_samples,0.1401095000001078,0.0815269170016108,1.7185673781499615
4096,300,moment_quant_approx_samples,0.3924710829996911,0.1816300419995968,2.1608269132072455
4096,1000,moment_quant_approx_samples,1.2252307919989107,0.5758031670011405,2.127863933746797
4096,3000,moment_quant_approx_samples,3.8185333750006976,1.9018212920018416,2.0078297530160367
4096,10000,moment_quant_approx_samples,14.27334399999927,7.705779583000549,1.8522907184481627
8192,1,moment_quant_approx_samples,0.0288252919999649,0.0298549170001933,0.9655123810854429
8192,3,moment_quant_approx_samples,0.0354392919998645,0.0335781249996216,1.0554279609199106
8192,10,moment_quant_approx_samples,0.0507024579983408,0.0423753329996543,1.1965087802083922
8192,30,moment_quant_approx_samples,0.0957762080015527,0.0632322080018639,1.5146744203322697
8192,100,moment_quant_approx_samples,0.2568813750003755,0.1563534170018101,1.6429533804010281
8192,300,moment_quant_approx_samples,0.7677884170007019,0.3659641659978661,2.0979879680492513
