Dtype,l,Method,Run,Runtime
float64,256,sort,0,4.252208500474808e-06
float32,4096,sort,5,4.300999999031774e-05
float32,8,argsort,1,6.545583199840621e-07
float32,4096,argsort,7,0.0001759054100148205
float64,256,argsort,7,2.374541500103078e-06
float32,32,sort,4,4.805917000339832e-07
float64,32,argsort,9,7.504562499889289e-07
float32,4,sort,5,4.5228499999211635e-07
float32,128,sort,2,9.464581999054644e-07
float64,16,sort,8,4.6890833333842844e-07
float64,8,argsort,3,6.543533199874219e-07
float32,128,argsort,4,1.4350334000482689e-06
float64,2048,argsort,5,6.0338749999573335e-05
float64,2048,argsort,0,7.475521000742447e-05
float32,512,sort,4,4.079291000380181e-06
float64,8192,sort,7,0.00020075665997865144
float64,4096,argsort,5,0.00017812208001487305
float64,32,sort,2,6.788062500163506e-07
float32,32,argsort,1,7.768499999656342e-07
float32,512,argsort,5,4.5102919993951215e-06
float32,2048,sort,7,1.9637915002022056e-05
float32,4096,sort,7,4.3034589998569574e-05
float32,64,argsort,2,9.409374999449937e-07
float64,128,argsort,5,1.3934583999798632e-06
float64,4096,argsort,6,0.000176448749989504
float32,512,argsort,4,4.478291999475914e-06
float64,8,argsort,8,6.510674999663024e-07
float32,32,sort,2,4.819833499823289e-07
float64,2048,sort,7,4.2228960001011726e-05
float64,8,argsort,5,6.599550000100862e-07
float64,4,argsort,6,6.473258400001214e-07
float64,8192,argsort,2,0.00041235918000893435
float64,512,argsort,5,4.454792000615271e-06
float64,4,sort,8,4.51208320009755e-07
float32,16384,sort,8,0.00020656667998991907
float64,512,argsort,1,4.447957999218488e-06
float32,16384,sort,3,0.00020590168001945132
float64,8,sort,0,4.6534500001143896e-07
float64,8,argsort,6,6.504900000072667e-07
float32,512,sort,1,4.116416999750072e-06
float64,16384,sort,9,0.00041989667995949274
float32,4096,sort,3,4.296167000575224e-05
float32,8192,argsort,9,0.00041351915999257474
float64,8192,argsort,5,0.00041108499997790206
float32,8192,sort,7,9.379249997437e-05
float32,4096,sort,4,4.288624999389867e-05
float64,4096,sort,2,9.057375000338652e-05
float32,16,argsort,6,6.940083333271711e-07
float64,512,sort,1,9.217124999850057e-06
float32,32,sort,7,4.894666500149469e-07
float32,64,sort,7,5.296499999531079e-07
float32,16,sort,5,4.7060276665433774e-07
float32,2048,argsort,0,7.130437499654363e-05
float32,256,argsort,2,2.329708499928529e-06
float32,128,argsort,0,1.4131333999102936e-06
float32,32768,sort,1,0.0004449166666139111
float32,16384,sort,1,0.00020631332001357804
float32,16384,argsort,0,0.000882934999972349
float32,4096,sort,6,4.455125001186389e-05
float32,32,argsort,7,7.761395999295928e-07
float64,2048,sort,8,4.3392500001573355e-05
float64,4096,sort,6,0.00010137833000044338
float64,16384,sort,0,0.0004352166400349233
float64,256,argsort,4,2.5711460002639798e-06
float64,32768,sort,2,0.0009252951667804155
float64,32,argsort,4,7.66958300027909e-07
float64,32768,sort,6,0.0009299860833683246
float64,16,sort,5,4.873555333081944e-07
float32,8,argsort,7,6.636774999788031e-07
float64,1024,argsort,9,1.3817668001138372e-05
float64,128,argsort,0,1.4087584000662901e-06
float32,32,argsort,8,7.70366649976495e-07
float64,4,argsort,3,6.387499999982538e-07
float32,4,argsort,6,6.4053750000312e-07
float32,32,argsort,4,7.553270499556674e-07
float32,8,argsort,4,6.591666600070312e-07
float32,256,argsort,5,2.312207999239035e-06
float32,1024,argsort,1,1.0998416000802535e-05
float64,4096,argsort,9,0.00016067792001194902
float32,16,sort,7,4.686055666752509e-07
float32,1024,argsort,7,1.3384499998210232e-05
float32,16,sort,8,4.6866249995218825e-07
float32,8192,sort,1,9.41774999955669e-05
float32,2048,argsort,7,5.782770999758213e-05
float32,32768,argsort,0,0.0019603714999902877
float64,8,sort,7,4.6953331999247895e-07
float64,2048,argsort,3,6.239395999728003e-05
float32,16,argsort,4,6.642347333278546e-07
float64,8,sort,8,4.659158399954322e-07
float32,64,argsort,3,9.368999999423977e-07
float64,16,argsort,6,6.645305666703886e-07
float32,4,argsort,5,6.274033400040935e-07
float32,64,sort,8,5.16345800133422e-07
float64,4,sort,1,4.512233399873367e-07
float64,16,sort,2,4.709250000208461e-07
float64,4,argsort,5,6.291766600043047e-07
float32,2048,sort,5,1.9527084996298073e-05
float32,16,sort,6,4.6884306666470367e-07
float64,32768,argsort,6,0.001961538249967513
float32,1024,sort,0,8.923999997932697e-06
float32,4,sort,8,4.5465833998605374e-07
float64,16384,sort,8,0.0004185133199644042
float32,1024,sort,7,8.888415999535938e-06
float64,128,argsort,8,1.3961332002509153e-06
float32,8192,argsort,5,0.00039075666001735953
float64,4096,sort,3,9.045374999914202e-05
float64,8192,argsort,6,0.00039434250000340397
float64,32,sort,0,6.571187500412634e-07
float32,16384,argsort,4,0.0009186749999935273
float32,32768,argsort,6,0.0019785346667049453
float32,4,argsort,1,6.354466600168962e-07
float32,8,sort,6,4.758733399648918e-07
float32,128,argsort,3,1.3875500000722241e-06
float32,64,sort,3,5.168666999452398e-07
float32,1024,argsort,0,9.453834001760697e-06
float32,2048,sort,4,1.992229499592213e-05
float64,2048,argsort,1,5.527270499442239e-05
float64,512,argsort,6,4.535166001005564e-06
float64,512,argsort,8,4.3827919998875585e-06
float64,4096,sort,1,9.088625000003959e-05
float64,2048,sort,4,4.189583000879793e-05
float32,512,sort,3,4.085999999006162e-06
float32,32768,sort,6,0.00044498958338105393
float32,16,argsort,8,6.816430666731321e-07
float32,8,sort,5,4.681233399969642e-07
float64,8192,sort,3,0.0001978691600015736
float32,8192,sort,5,9.404667998751393e-05
float32,2048,sort,2,1.94649999957619e-05
float32,128,sort,0,9.747418000188191e-07
float64,64,sort,1,1.0031458999947063e-06
float32,16,argsort,2,6.733985999744618e-07
float64,16,sort,0,4.720694333324597e-07
float32,4096,sort,9,4.3148330005351456e-05
float64,512,sort,0,9.059708001586841e-06
float64,64,sort,5,1.0390792000180226e-06
float32,128,argsort,5,1.4250749998609535e-06
float64,128,sort,5,2.1117000000231202e-06
float64,4,argsort,7,6.518183400112321e-07
float64,128,sort,1,2.067841800089809e-06
float64,16,sort,9,4.7029166665500573e-07
float32,8,argsort,9,6.567958199957502e-07
