Dtype,l,Method,Run,Runtime
float32,8192,argsort,5,0.0003711691599892219
float64,4096,sort,3,0.000188743329999852
float64,8192,argsort,6,0.00041081915998802287
float64,32,sort,0,2.8286250000746803e-06
float32,16384,argsort,4,0.0008739966800203547
float32,32768,argsort,6,0.0019139930832352547
float32,4,argsort,1,2.582110000003013e-06
float32,8,sort,6,2.7072708400010016e-06
float32,128,argsort,3,3.3930667999811705e-06
float32,64,sort,3,3.136066700062656e-06
float32,1024,argsort,0,1.3532167999073862e-05
float32,2048,sort,4,3.5920625005019244e-05
float64,2048,argsort,1,5.1406454995230886e-05
float64,512,argsort,6,7.517500000176369e-06
float64,512,argsort,8,7.3738329992920624e-06
float64,4096,sort,1,0.00017081708001569494
float64,2048,sort,4,7.409146000100009e-05
float32,512,sort,3,7.392166000499856e-06
float32,32768,sort,6,0.0019279166666213616
float32,16,argsort,8,2.6276874999894064e-06
float32,8,sort,5,2.7037933400060866e-06
float64,8192,sort,3,0.00039500250000855885
float32,8192,sort,5,0.00039645916000154104
float32,2048,sort,2,3.8014165002095977e-05
float32,128,sort,0,3.510691600240534e-06
float64,64,sort,1,3.1215791999784416e-06
float32,16,argsort,2,2.6692055666596086e-06
float64,16,sort,0,2.788337499987392e-06
float32,4096,sort,9,0.000144424580012128
float64,512,sort,0,7.354249999480089e-06
float64,64,sort,5,3.063358299914398e-06
float32,128,argsort,5,3.4256750001077308e-06
float64,128,sort,5,3.460683199955383e-06
float64,4,argsort,7,2.5530458399953204e-06
float64,128,sort,1,3.4812833997420966e-06
float64,16,sort,9,2.7360555666746223e-06
float32,8,argsort,9,2.5465824999992037e-06
float32,64,argsort,5,2.964362499915296e-06
float32,32768,sort,5,0.0019114166666440724
float64,512,sort,2,8.160332999977981e-06
float32,8,argsort,2,2.5616799999988873e-06
float32,16384,argsort,7,0.000871921639991342
float64,8,argsort,0,2.579440840017924e-06
float64,512,sort,3,7.713582999713253e-06
float64,2048,sort,0,5.99612500082003e-05
float64,1024,sort,8,2.943733199936105e-05
float64,16384,sort,4,0.000893004999961704
float32,8192,sort,0,0.00039856749997852604
float64,16384,argsort,3,0.0009152583200193476
float32,4096,argsort,0,0.00017975624999962746
float64,32,argsort,0,2.6391416499791375e-06
float64,16384,argsort,1,0.0008828516799985664
float32,32768,sort,9,0.00193422225008059
float32,1024,argsort,3,1.3597499997558771e-05
float64,256,sort,9,4.65343749965541e-06
float32,32,sort,1,2.8660958500040577e-06
float64,512,sort,5,7.528958001785213e-06
float64,1024,argsort,7,1.5178000001469627e-05
float64,256,sort,6,4.67839599969011e-06
float32,128,argsort,2,3.4302416002901735e-06
float32,1024,sort,2,1.449050000155694e-05
float64,128,argsort,2,3.4139750001486392e-06
float32,512,sort,5,7.224540999231976e-06
float64,64,sort,9,3.027783400102635e-06
float32,64,sort,9,3.094683299968892e-06
float32,8,argsort,0,2.556989999975485e-06
float64,32,sort,5,2.8043958500347798e-06
float32,16,sort,0,2.742934700048257e-06
float32,128,sort,3,3.473991599821602e-06
float64,2048,sort,3,5.363916999158391e-05
float32,512,argsort,9,7.391749999442254e-06
float32,2048,sort,3,3.1074375001480803e-05
float32,128,argsort,6,3.317508400141378e-06
float64,32768,sort,3,0.002011628499985818
float64,4096,argsort,8,0.00017544624999572987
float64,64,argsort,4,2.9451458000039566e-06
float64,8192,argsort,0,0.00039692416001344097
float32,64,sort,6,3.0890416999682202e-06
float64,16384,argsort,8,0.0009046400000079302
float64,32,sort,7,2.84365000006801e-06
float64,1024,argsort,4,2.0333584001491545e-05
float64,256,argsort,0,4.621437499736203e-06
float64,2048,argsort,4,5.815041500682128e-05
float64,2048,sort,6,7.832166499611049e-05
float32,4,argsort,9,2.603022500006773e-06
float64,256,argsort,6,4.6655625001221775e-06
float32,8,sort,4,2.713081659967429e-06
float64,32768,argsort,4,0.002013982666691542
float32,4096,argsort,8,0.00017874625000331436
float64,128,argsort,4,3.4426832000463036e-06
float64,32,argsort,5,2.6679291499931424e-06
float64,2048,sort,9,5.7555835001039666e-05
float32,4,sort,6,2.701950000009674e-06
float64,32,sort,1,2.82024164998802e-06
float32,256,argsort,4,4.485416499846906e-06
float32,8,argsort,5,2.5694358400141936e-06
float64,8192,sort,6,0.00039522168000985405
