Dataset,Resample,Estimator,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1,Runtime,Runtime_FeatureExtractionTrain,Runtime_ClassifierFit,Runtime_FeatureExtractionTest,Runtime_Prediction
AconityMINIPrinterSmall,23,moment_quant_approx,0.9691780821917808,0.9530466363059895,0.13635791038227088,0.9744047962183663,0.9440993788819876,1.1952271669870242,0.11885549999715295,1.021983917002217,0.0470225409953855,0.00736520899226889
AconityMINIPrinterSmall,23,quant,0.9657534246575342,0.9470225399204473,0.134622393999201,0.9791894852135815,0.9375,1.2966440000018338,0.15405591600574553,1.0473162089911057,0.08666749999974854,0.008604375005234033
AconityMINIPrinterSmall,24,moment_quant_exact,0.976027397260274,0.9578313253012047,0.11308599615859223,0.9847235833285294,0.9559748427672956,1.3406826249993173,0.08798333400045522,1.1347804999968503,0.11033525000675581,0.007583540995256044
AconityMINIPrinterSmall,24,moment_quant_approx,0.976027397260274,0.9578313253012047,0.11307106768868086,0.9817259468495994,0.9559748427672956,1.2277302500006044,0.0796072500088485,1.0938935839949409,0.04666383299627341,0.007565583000541665
AconityMINIPrinterSmall,24,quant,0.976027397260274,0.9578313253012047,0.11308599615859223,0.9847235833285294,0.9559748427672956,1.3928996250033379,0.15470691699010786,1.143847375002224,0.08668816600402351,0.00765716700698249
AconityMINIPrinterSmall,25,moment_quant_exact,0.9554794520547946,0.9325820026517553,0.15069439316222186,0.9770565515651122,0.9182389937106918,1.2593549579905812,0.08789691599668004,1.055450583997299,0.10839041600411292,0.0076170419924892485
AconityMINIPrinterSmall,25,moment_quant_approx,0.9623287671232876,0.9446301954228398,0.1394756909705163,0.978468899521531,0.9316770186335404,1.139994500001194,0.07433391700033098,1.0105984580004588,0.04665345899411477,0.008408666006289423
AconityMINIPrinterSmall,25,quant,0.9554794520547946,0.9325820026517553,0.15069439316222186,0.9770565515651122,0.9182389937106918,1.312710458994843,0.15444233399466611,1.0598662910051644,0.09073058400826994,0.007671249986742623
AconityMINIPrinterSmall,26,moment_quant_exact,0.9828767123287672,0.9735112699602236,0.122152639201061,0.9768547875713379,0.9693251533742331,1.29997562499193,0.09271224999974947,1.0907949590036878,0.10901004099287093,0.007458374995621853
AconityMINIPrinterSmall,26,moment_quant_approx,0.9828767123287672,0.9735112699602236,0.10931658204787231,0.9813224188620511,0.9693251533742331,1.1978517089883098,0.07956445899617393,1.0631810829945607,0.046722708008019254,0.008383458989555947
AconityMINIPrinterSmall,26,quant,0.9828767123287672,0.9735112699602236,0.122152639201061,0.9768547875713379,0.9693251533742331,1.3452586669882294,0.15710408399172593,1.0933282909973059,0.0870294170017587,0.007796874997438863
AconityMINIPrinterSmall,27,moment_quant_exact,0.9794520547945206,0.9674871735746815,0.10636085931501069,0.9921312042428085,0.9629629629629629,1.3043096250039525,0.08754837499873247,1.1039437080034986,0.10399737500119954,0.008820167000521906
AconityMINIPrinterSmall,27,moment_quant_approx,0.9794520547945206,0.9674871735746815,0.09493282612858842,0.9919006168213523,0.9629629629629629,1.2073259160097223,0.08545250000315718,1.0660276249982417,0.048230665997834876,0.007615125010488555
AconityMINIPrinterSmall,27,quant,0.9794520547945206,0.9674871735746815,0.10636085931501069,0.9921312042428085,0.9629629629629629,1.365119042005972,0.15573212500021327,1.1062976670073112,0.0952295419992879,0.007859707999159582
AconityMINIPrinterSmall,28,moment_quant_exact,0.9828767123287672,0.9698795180722892,0.10745546497799201,0.9801118348994062,0.968944099378882,1.319678333005868,0.0891932920058025,1.1145620000024792,0.10844783300126437,0.007475207996321842
AconityMINIPrinterSmall,28,moment_quant_approx,0.9794520547945206,0.963855421686747,0.09780582666312211,0.9802847754654983,0.9625,1.2310750409960747,0.08282708299520891,1.0912708749965532,0.04957954199926462,0.0073975410050479695
AconityMINIPrinterSmall,28,quant,0.9828767123287672,0.9698795180722892,0.10745546497799201,0.9801118348994062,0.968944099378882,1.378856082999846,0.16241279100358952,1.1190796250011772,0.08975737499713432,0.007606291997944936
AconityMINIPrinterSmall,29,moment_quant_exact,0.9691780821917808,0.9530466363059895,0.2386627183728903,0.9722142157145327,0.9440993788819876,1.2703309580101632,0.08771362500556279,1.0678939999925205,0.10726904100738466,0.007454292004695162
AconityMINIPrinterSmall,29,moment_quant_approx,0.9726027397260274,0.9590707326915316,0.13426545663377742,0.9724448031359889,0.9506172839506173,1.135439707999467,0.07461499999044463,1.006028250005329,0.046430707996478304,0.008365750007214956
AconityMINIPrinterSmall,29,quant,0.9691780821917808,0.9530466363059895,0.2386627183728903,0.9722142157145327,0.9440993788819876,1.33515100000659,0.16095604200381786,1.0725219169980846,0.09405179100576788,0.007621249998919666
AllGestureWiimoteX,0,moment_quant_exact,0.6357142857142857,0.6357142857142858,1.0613473113049734,0.9295090702947847,0.6397160580196815,2.1382627499988303,0.07712954199814703,1.8553959999990184,0.187317375006387,0.01841983299527783
AllGestureWiimoteX,0,moment_quant_approx,0.6442857142857142,0.6442857142857144,1.0804180362056857,0.9297052154195012,0.6468535262430313,2.005811499999254,0.07099170799483545,1.7939372090040706,0.1233138749958016,0.01756870800454635
AllGestureWiimoteX,0,quant,0.6357142857142857,0.6357142857142858,1.0613473113049734,0.9295090702947847,0.6397160580196815,2.3035162080050213,0.1463620420108782,1.8230039999907603,0.3175923750095535,0.016557790993829258
AllGestureWiimoteX,1,moment_quant_exact,0.7028571428571428,0.7028571428571428,1.0144975961435616,0.9475430839002266,0.699458228617481,2.152769583000918,0.08579233300406486,1.8690587089949986,0.17951950000133365,0.01839904100052081
AllGestureWiimoteX,1,moment_quant_approx,0.6757142857142857,0.6757142857142857,1.0262325692571406,0.9463956916099772,0.6700565558060274,2.0732115840073675,0.07054141700791661,1.840826957995887,0.14558083399606403,0.01626237500749994
