Dataset,SeriesLength,Representation,Depth,Column,Correlation
ECG200,96,raw,3,136,0.7937862281299491
ECG200,96,raw,3,139,0.7388329395503243
ECG200,96,raw,3,142,0.7713423969698142
ECG200,96,raw,3,145,0.8596689304951836
ECG200,96,raw,5,209,0.9821963194784592
ECG200,96,raw,5,210,0.9838846140929075
ECG200,96,raw,5,211,0.9914957941649386
ECG200,96,raw,5,212,0.9949073283677405
ECG200,96,raw,5,213,0.9905760529152109
ECG200,96,raw,5,214,0.9967520806899797
ECG200,96,raw,5,215,0.9955703937250034
ECG200,96,raw,5,216,0.9975875705788798
ECG200,96,raw,5,217,0.9964667304955802
ECG200,96,raw,5,218,0.9970109549332942
ECG200,96,raw,5,219,0.9980783702845633
ECG200,96,raw,5,220,0.9973684117889724
ECG200,96,raw,5,221,0.9981997055340885
ECG200,96,raw,5,222,0.9984577675705567
ECG200,96,raw,5,223,0.9988357245729665
ECG200,96,raw,5,224,0.9990260067300976
ECG200,96,raw,5,225,0.9984105546471217
ECG200,96,raw,5,226,0.9972656426597701
ECG200,96,raw,5,227,0.9936448712407047
ECG200,96,raw,5,228,0.9904326483706823
ECG200,96,raw,5,229,0.9913259664540006
ECG200,96,raw,5,230,0.9934217470709644
ECG200,96,raw,5,231,0.9894526101636146
ECG200,96,raw,5,232,0.9926377431754662
ECG200,96,raw,5,233,0.9919711083216269
ECG200,96,raw,5,234,0.9917712721074075
ECG200,96,raw,5,235,0.9923944213160589
ECG200,96,raw,5,236,0.9949716939044708
ECG200,96,raw,5,237,0.9948263040522765
ECG200,96,raw,5,238,0.9930793473663299
ECG200,96,raw,5,239,0.9958121757101537
ECG200,96,raw,5,240,0.9866387101600708
ECG200,96,raw,5,241,0.9846208602979902
ECG200,96,raw,5,242,0.988623870640894
ECG200,96,raw,5,243,0.9954660866282967
ECG200,96,raw,5,244,0.9916009358797646
ECG200,96,raw,5,245,0.9951725944007823
ECG200,96,raw,5,246,0.9962841434656556
ECG200,96,raw,5,247,0.9961566120842877
ECG200,96,raw,5,248,0.9964704256669727
ECG200,96,raw,5,249,0.9970305417521798
ECG200,96,raw,5,250,0.9982855154838739
ECG200,96,raw,5,251,0.9976996700861207
ECG200,96,raw,5,252,0.9978274422004735
ECG200,96,raw,5,253,0.9981366568004675
ECG200,96,raw,5,254,0.9992072321826049
ECG200,96,raw,5,255,0.9991996994206969
ECG200,96,raw,5,256,0.9986002649584459
ECG200,96,raw,5,257,0.996971729939586
ECG200,96,raw,5,258,0.9939403184086428
ECG200,96,raw,5,259,0.9933957972092904
ECG200,96,raw,5,260,0.9896230157925465
ECG200,96,raw,5,261,0.991331147011398
ECG200,96,raw,5,262,0.9929916380265073
ECG200,96,raw,5,263,0.9917758949733252
ECG200,96,raw,5,264,0.9908540093022097
ECG200,96,raw,5,265,0.9929249003051663
ECG200,96,raw,5,266,0.9905623361725824
ECG200,96,raw,5,267,0.995331450458545
ECG200,96,raw,5,268,0.9957289497149053
ECG200,96,raw,5,269,0.9946176426131419
ECG200,96,raw,5,270,0.9962081826276051
ECG200,96,raw,5,271,0.9944027238668043
ECG200,96,diff1,0,1,0.38419604643607314
ECG200,96,diff1,0,2,0.30503842669370335
ECG200,96,diff1,0,3,0.29679133630517207
ECG200,96,diff1,0,4,0.3411129647027094
ECG200,96,diff1,0,5,0.29597600100203525
ECG200,96,diff1,0,6,0.41169865519377496
ECG200,96,diff1,0,7,0.36489347961848023
ECG200,96,diff1,0,8,0.4141620884298187
ECG200,96,diff1,0,9,0.4993622897236217
ECG200,96,diff1,0,10,0.5838240662012096
ECG200,96,diff1,0,11,0.649937974554772
ECG200,96,diff1,0,12,0.6157069986069795
ECG200,96,diff1,0,13,0.6457436649179294
ECG200,96,diff1,0,14,0.5987529685530553
ECG200,96,diff1,0,15,0.6106304287721769
ECG200,96,diff1,0,16,0.49104507941482256
ECG200,96,diff1,0,17,0.3777593941820704
ECG200,96,diff1,0,18,0.16503594766047328
ECG200,96,diff1,0,19,0.0671379583083172
ECG200,96,diff1,0,20,0.3087027905456524
ECG200,96,diff1,0,21,0.7552297799550961
ECG200,96,diff1,0,22,0.6307350804379735
ECG200,96,diff1,1,25,0.6868375179148631
ECG200,96,diff1,1,26,0.6573473840518849
ECG200,96,diff1,1,27,0.7106409201426372
ECG200,96,diff1,1,28,0.7081093640054757
ECG200,96,diff1,1,29,0.7032096568537686
ECG200,96,diff1,1,30,0.6698580786831568
ECG200,96,diff1,1,31,0.31204977066473844
ECG200,96,diff1,1,32,0.7786161777823045
ECG200,96,diff1,1,33,0.7690238527189703
ECG200,96,diff1,1,34,0.8290831523815312
ECG200,96,diff1,1,37,0.6642413108650517
ECG200,96,diff1,1,38,0.7157026077140385
ECG200,96,diff1,1,39,0.7057994544690604
ECG200,96,diff1,1,40,0.8508009393936057
ECG200,96,diff1,1,41,0.5691293776094717
ECG200,96,diff1,1,42,0.8203655417349521
ECG200,96,diff1,1,43,0.6239184359535535
ECG200,96,diff1,1,44,0.8628870284260697
ECG200,96,diff1,1,45,0.8418899344691168
ECG200,96,diff1,1,46,0.9136189948400055
ECG200,96,diff1,1,49,0.6358692016526569
ECG200,96,diff1,1,50,0.46968438640682464
ECG200,96,diff1,1,51,0.8144063850449714
ECG200,96,diff1,1,52,0.8357599451754133
ECG200,96,diff1,1,53,0.8859181969994643
ECG200,96,diff1,1,54,0.6309824005518299
ECG200,96,diff1,1,55,0.36779360547963996
ECG200,96,diff1,1,56,0.2519419299457432
ECG200,96,diff1,1,57,0.7482060592422924
ECG200,96,diff1,1,58,0.9724046522900666
ECG200,96,diff1,2,61,0.667928501635611
ECG200,96,diff1,2,62,0.6648635298661415
ECG200,96,diff1,2,63,0.6175552822862238
ECG200,96,diff1,2,64,0.6992828636106913
ECG200,96,diff1,2,67,0.9333927661544659
ECG200,96,diff1,2,68,0.8997236772724088
ECG200,96,diff1,2,69,0.690060225048242
ECG200,96,diff1,2,70,0.9884861248083902
ECG200,96,diff1,2,73,0.9452027500949408
ECG200,96,diff1,2,74,0.9700494313288227
ECG200,96,diff1,2,75,0.5392517326974601
ECG200,96,diff1,2,76,0.9907489594516795
ECG200,96,diff1,2,79,0.498715346121009
ECG200,96,diff1,2,80,0.7958533388408028
ECG200,96,diff1,2,81,0.5090577825002057
ECG200,96,diff1,2,82,0.8236218148977755
ECG200,96,diff1,2,85,0.8887386689140172
ECG200,96,diff1,2,86,0.874169497801781
ECG200,96,diff1,2,87,0.41456243927253683
ECG200,96,diff1,2,88,0.9761893609018454
ECG200,96,diff1,2,91,0.906523604823231
ECG200,96,diff1,2,92,0.9105236079491176
ECG200,96,diff1,2,93,0.26575700605355823
ECG200,96,diff1,2,94,0.9652518181097314
ECG200,96,diff1,2,97,0.8733408595975981
ECG200,96,diff1,2,98,0.9571253701512971
ECG200,96,diff1,2,99,0.6689854423762803
ECG200,96,diff1,2,100,0.9182441288140581
ECG200,96,diff1,3,103,0.7096162768245249
ECG200,96,diff1,3,106,0.7456105608966931
ECG200,96,diff1,3,109,0.8798341573076445
ECG200,96,diff1,3,112,0.8162503400895224
ECG200,96,diff1,3,115,0.7040786102221103
ECG200,96,diff1,3,118,0.5997392818296747
ECG200,96,diff1,3,121,0.7357833230337657
ECG200,96,diff1,3,124,0.8122355313937156
ECG200,96,diff1,3,127,0.7318607808020166
ECG200,96,diff1,3,130,0.8323701883632335
ECG200,96,diff1,3,133,0.8584422557345273
ECG200,96,diff1,3,136,0.7957230892837702
ECG200,96,diff1,3,139,0.7516049427682904
ECG200,96,diff1,3,142,0.633605331579674
ECG200,96,diff1,3,145,0.8689395941583091
ECG200,96,diff1,5,209,1.0
ECG200,96,diff1,5,210,0.9857655170407641
ECG200,96,diff1,5,211,0.977094545298856
ECG200,96,diff1,5,212,0.9787592997822813
ECG200,96,diff1,5,213,0.9892257715276754
ECG200,96,diff1,5,214,0.9824710798273057
ECG200,96,diff1,5,215,0.9932032030728137
ECG200,96,diff1,5,216,0.9872002525753379
ECG200,96,diff1,5,217,0.9907625680030929
ECG200,96,diff1,5,218,0.995136331032517
ECG200,96,diff1,5,219,0.9949466419264118
ECG200,96,diff1,5,220,0.9939915944834242
ECG200,96,diff1,5,221,0.9977331106286864
ECG200,96,diff1,5,222,0.9960429981308523
ECG200,96,diff1,5,223,0.9884302322213004
ECG200,96,diff1,5,224,0.9918163903877372
ECG200,96,diff1,5,225,0.9936411876520198
ECG200,96,diff1,5,226,0.993445443205411
ECG200,96,diff1,5,227,0.988270832027685
ECG200,96,diff1,5,228,0.9672973119829018
ECG200,96,diff1,5,229,0.9672906033796319
ECG200,96,diff1,5,230,0.9832964659582336
ECG200,96,diff1,5,231,0.974127847879543
ECG200,96,diff1,5,232,0.9800330254308777
ECG200,96,diff1,5,233,0.9889660009365345
ECG200,96,diff1,5,234,0.9740465164730925
ECG200,96,diff1,5,235,0.9875021680442494
ECG200,96,diff1,5,236,0.9663298854521714
ECG200,96,diff1,5,237,0.970132159676944
ECG200,96,diff1,5,238,0.9918656790631968
ECG200,96,diff1,5,239,0.9882984002185974
ECG200,96,diff1,5,240,0.9958532037568655
ECG200,96,diff1,5,241,1.0
ECG200,96,diff1,5,242,0.9805973442512922
ECG200,96,diff1,5,243,0.978493105656136
ECG200,96,diff1,5,244,0.9873629859241765
ECG200,96,diff1,5,245,0.9831706571303257
ECG200,96,diff1,5,246,0.9943301979890735
ECG200,96,diff1,5,247,0.9909265064969629
ECG200,96,diff1,5,248,0.9839212243244061
ECG200,96,diff1,5,249,0.9919799339155088
ECG200,96,diff1,5,250,0.9950308356857944
ECG200,96,diff1,5,251,0.9935391513554779
ECG200,96,diff1,5,252,0.9972808239522994
ECG200,96,diff1,5,253,0.9965432940986242
ECG200,96,diff1,5,254,0.9901139659721242
ECG200,96,diff1,5,255,0.9903408659558379
