Series length,Number of samples,Estimator,Run,Threads,Runtime
16,30,moment_quant_exact_intervals,7,8,0.0011779580017901026
16,30,moment_quant_approx_samples,3,8,0.004423582999152131
16,30,moment_quant_exact_intervals,4,8,0.0012274170003365725
16,30,moment_quant_approx_samples,0,8,0.004342082997027319
16,30,moment_quant_exact_samples,6,8,0.001028250000672415
16,30,moment_quant_exact_intervals,9,8,0.0011981669995293487
16,30,moment_quant_exact_intervals,1,8,0.0011579170022741891
16,30,moment_quant_approx_samples,1,8,0.004385208998428425
16,30,moment_quant_exact_intervals,0,8,0.0012189159970148467
16,30,moment_quant_approx_samples,2,8,0.004287291001674021
16,30,moment_quant_approx_intervals,3,8,0.004790959003003081
16,30,moment_quant_approx_intervals,9,8,0.004836915999476332
16,30,moment_quant_exact_samples,3,8,0.0010037909996754024
16,30,moment_quant_exact_intervals,6,8,0.0012408750008034986
16,30,moment_quant_exact_intervals,5,8,0.001156749996880535
16,30,moment_quant_approx_intervals,8,8,0.004754000001412351
16,30,moment_quant_exact_intervals,2,8,0.0011695409993990324
16,30,moment_quant_approx_intervals,4,8,0.004770750001625856
16,30,moment_quant_exact_samples,4,8,0.0010550830011197831
16,30,moment_quant_approx_samples,7,8,0.004374125001049833
16,30,moment_quant_exact_samples,5,8,0.000999124997179024
16,30,moment_quant_approx_intervals,2,8,0.004812667000805959
16,30,moment_quant_exact_samples,0,8,0.0009401249990332872
16,30,moment_quant_approx_samples,8,8,0.00432270800229162
16,30,moment_quant_exact_samples,9,8,0.0009393750005983748
16,30,moment_quant_exact_samples,7,8,0.0010016249980253633
16,30,moment_quant_approx_samples,9,8,0.004425708997587208
16,30,moment_quant_approx_intervals,1,8,0.004752459000883391
16,30,moment_quant_approx_samples,4,8,0.004427208998095011
16,30,moment_quant_approx_samples,6,8,0.004306375001760898
16,30,moment_quant_approx_intervals,5,8,0.004792957999598002
16,30,moment_quant_exact_intervals,3,8,0.0012021250004181638
16,30,moment_quant_exact_samples,8,8,0.0010216250011580996
16,30,moment_quant_approx_intervals,7,8,0.00480283400247572
16,30,moment_quant_approx_samples,5,8,0.004374874999484746
16,32,moment_quant_exact_intervals,5,8,0.0012036670013912953
16,32,moment_quant_approx_intervals,4,8,0.0047824169996601995
16,32,moment_quant_exact_samples,6,8,0.0011814160025096498
16,32,moment_quant_approx_samples,8,8,0.0044181669982208405
16,32,moment_quant_exact_samples,0,8,0.0009520409985270817
16,32,moment_quant_approx_samples,3,8,0.004443041998456465
16,32,moment_quant_approx_samples,7,8,0.004432875000929926
16,32,moment_quant_approx_samples,2,8,0.004381541999464389
16,32,moment_quant_approx_samples,5,8,0.004419541000970639
16,32,moment_quant_approx_samples,0,8,0.004382832998089725
16,32,moment_quant_exact_intervals,2,8,0.0012167090026196092
16,32,moment_quant_approx_samples,9,8,0.00433550000161631
16,32,moment_quant_exact_samples,5,8,0.0009622090001357719
16,32,moment_quant_approx_intervals,8,8,0.004906124999251915
16,32,moment_quant_exact_samples,2,8,0.000977833002252737
16,32,moment_quant_approx_intervals,5,8,0.004894875000900356
16,32,moment_quant_exact_samples,7,8,0.0009842920007940847
16,32,moment_quant_approx_intervals,9,8,0.004899791998468572
16,32,moment_quant_exact_intervals,6,8,0.001225416999659501
16,32,moment_quant_exact_intervals,0,8,0.0011924169994017575
16,32,moment_quant_approx_intervals,2,8,0.004766750000271713
16,32,moment_quant_exact_intervals,1,8,0.0011892080001416616
16,32,moment_quant_approx_samples,1,8,0.00441891599984956
16,32,moment_quant_exact_samples,3,8,0.000996292001218535
16,32,moment_quant_approx_samples,4,8,0.004325291996792657
16,32,moment_quant_exact_samples,1,8,0.0010382090003986377
16,32,moment_quant_exact_intervals,8,8,0.0012107080001442228
16,32,moment_quant_approx_intervals,0,8,0.00477725000018836
16,32,moment_quant_exact_samples,4,8,0.0010447079985169694
16,32,moment_quant_exact_intervals,7,8,0.0012372089986456558
16,32,moment_quant_approx_intervals,7,8,0.004774625002028188
16,32,moment_quant_approx_intervals,1,8,0.00479629199980991
16,32,moment_quant_exact_intervals,3,8,0.0012015419997624122
16,32,moment_quant_exact_samples,9,8,0.0010278749978169799
16,32,moment_quant_approx_samples,6,8,0.004380750000564149
16,32,moment_quant_approx_intervals,3,8,0.004765958001371473
16,32,moment_quant_approx_intervals,6,8,0.00481562499771826
16,32,moment_quant_exact_intervals,9,8,0.001204790998599492
16,32,moment_quant_exact_intervals,4,8,0.001204750002216315
16,32,moment_quant_exact_samples,8,8,0.001066499997250503
16,64,moment_quant_exact_intervals,3,8,0.0013329579996934626
16,64,moment_quant_exact_samples,1,8,0.0011421249982959125
16,64,moment_quant_approx_intervals,9,8,0.0050972919998457655
16,64,moment_quant_exact_intervals,8,8,0.0012956660029885825
16,64,moment_quant_exact_samples,8,8,0.001302667002164526
16,64,moment_quant_approx_samples,1,8,0.0044778330011467915
16,64,moment_quant_exact_samples,2,8,0.001258708998648217
16,64,moment_quant_approx_samples,0,8,0.004471207997994497
16,64,moment_quant_exact_intervals,6,8,0.0013266249989101198
16,64,moment_quant_exact_samples,6,8,0.0013322499980858993
16,64,moment_quant_exact_samples,0,8,0.0012399589977576397
16,64,moment_quant_approx_samples,9,8,0.004408207998494618
16,64,moment_quant_exact_intervals,4,8,0.0012817079987144098
16,64,moment_quant_exact_intervals,1,8,0.001297332997637568
16,64,moment_quant_exact_samples,9,8,0.0011842919993796386
16,64,moment_quant_exact_samples,3,8,0.0011432920000515878
16,64,moment_quant_approx_intervals,4,8,0.005163290999917081
16,64,moment_quant_exact_intervals,0,8,0.0012894579995190725
16,64,moment_quant_approx_samples,3,8,0.004651125000236789
16,64,moment_quant_approx_intervals,8,8,0.0051640830024553
16,64,moment_quant_exact_samples,4,8,0.0012344160022621509
16,64,moment_quant_approx_samples,8,8,0.004408999997394858
16,64,moment_quant_exact_intervals,9,8,0.0012662080007430632
16,64,moment_quant_exact_intervals,7,8,0.0012332499973126687
16,64,moment_quant_approx_samples,4,8,0.004469583000172861
16,64,moment_quant_exact_intervals,5,8,0.0012939579974045046
16,64,moment_quant_approx_intervals,3,8,0.005106000000523636
16,64,moment_quant_approx_intervals,5,8,0.005078291000245372
16,64,moment_quant_exact_samples,7,8,0.0012816250018659048
16,64,moment_quant_exact_samples,5,8,0.0012426670000422746
16,64,moment_quant_approx_samples,7,8,0.00451700000121491
16,64,moment_quant_approx_samples,5,8,0.004419250002683839
16,64,moment_quant_approx_intervals,0,8,0.0050756660020852
16,64,moment_quant_approx_intervals,6,8,0.005068459002359305
16,64,moment_quant_approx_samples,2,8,0.004536458000075072
16,64,moment_quant_approx_intervals,7,8,0.005152375000761822
16,64,moment_quant_approx_samples,6,8,0.004500874998484505
16,64,moment_quant_approx_intervals,2,8,0.005083916999865323
16,64,moment_quant_approx_intervals,1,8,0.005072709001979092
16,64,moment_quant_exact_intervals,2,8,0.001269874999707099
16,100,moment_quant_exact_samples,9,8,0.0015035840006021317
16,100,moment_quant_exact_samples,6,8,0.001473334003094351
16,100,moment_quant_approx_samples,9,8,0.004583208999974886
16,100,moment_quant_exact_intervals,8,8,0.0013909580011386424
16,100,moment_quant_approx_samples,5,8,0.004687750002631219
16,100,moment_quant_approx_samples,3,8,0.004697915999713587
16,100,moment_quant_exact_intervals,3,8,0.0013674170004378539
16,100,moment_quant_approx_intervals,2,8,0.0054351250000763685
16,100,moment_quant_exact_samples,4,8,0.0015065410007082392
16,100,moment_quant_exact_samples,0,8,0.001450457999453647
16,100,moment_quant_approx_intervals,1,8,0.005395209002017509
16,100,moment_quant_exact_intervals,6,8,0.0013640830002259463
16,100,moment_quant_approx_samples,4,8,0.004587375002301997
16,100,moment_quant_approx_intervals,5,8,0.0054059169997344725
16,100,moment_quant_exact_intervals,5,8,0.0013593330004368909
16,100,moment_quant_exact_samples,3,8,0.0014622500020777807
16,100,moment_quant_exact_intervals,9,8,0.001394709001033334
16,100,moment_quant_approx_intervals,9,8,0.005391415998019511
16,100,moment_quant_approx_samples,6,8,0.004694584000390023
16,100,moment_quant_exact_intervals,0,8,0.001363333998597227
16,100,moment_quant_exact_samples,7,8,0.0015293340002244804
16,100,moment_quant_approx_intervals,7,8,0.0054419169973698445
16,100,moment_quant_exact_intervals,4,8,0.0013379159972828347
16,100,moment_quant_approx_intervals,8,8,0.005299790998833487
16,100,moment_quant_exact_samples,2,8,0.0015329579982790165
16,100,moment_quant_exact_samples,8,8,0.0014580419992853422
16,100,moment_quant_approx_samples,7,8,0.004681708000134677
16,100,moment_quant_approx_samples,0,8,0.004505832999711856
16,100,moment_quant_approx_samples,8,8,0.004577791998599423
16,100,moment_quant_exact_samples,5,8,0.0015091249988472555
16,100,moment_quant_exact_samples,1,8,0.0015649579981982242
16,100,moment_quant_exact_intervals,1,8,0.001392582998960279
16,100,moment_quant_exact_intervals,2,8,0.0013306250002642628
16,100,moment_quant_approx_intervals,0,8,0.005412124999566004
16,100,moment_quant_approx_intervals,4,8,0.005352250002033543
16,100,moment_quant_approx_intervals,3,8,0.005324833000486251
16,100,moment_quant_approx_samples,1,8,0.0046485839993692935
16,100,moment_quant_exact_intervals,7,8,0.0013672499990207143
16,100,moment_quant_approx_samples,2,8,0.004596250000759028
16,100,moment_quant_approx_intervals,6,8,0.005375917000492336
16,300,moment_quant_approx_samples,5,8,0.005332917000487214
16,300,moment_quant_approx_samples,1,8,0.005467666996992193
16,300,moment_quant_approx_intervals,7,8,0.007061332999001024
16,300,moment_quant_exact_samples,8,8,0.0028459169989218935
16,300,moment_quant_approx_intervals,0,8,0.006981125003221678
16,300,moment_quant_exact_samples,9,8,0.002781834002234973
16,300,moment_quant_exact_samples,2,8,0.00288837499829242
16,300,moment_quant_exact_samples,3,8,0.002839790999132674
16,300,moment_quant_exact_samples,7,8,0.002723083001910709
16,300,moment_quant_approx_intervals,5,8,0.007138125001802109
16,300,moment_quant_exact_intervals,6,8,0.0018777500008582138
16,300,moment_quant_approx_samples,3,8,0.005735416001698468
16,300,moment_quant_approx_intervals,1,8,0.007126665997930104
16,300,moment_quant_approx_intervals,4,8,0.007006583000475075
16,300,moment_quant_exact_samples,4,8,0.002931000002718065
16,300,moment_quant_exact_intervals,5,8,0.0018324999982723966
16,300,moment_quant_approx_intervals,2,8,0.007081499999912921
16,300,moment_quant_exact_intervals,9,8,0.0017851249976956751
16,300,moment_quant_exact_samples,6,8,0.0026522500011196826
16,300,moment_quant_approx_samples,9,8,0.0053542499990726355
16,300,moment_quant_approx_intervals,3,8,0.007040791999315843
