Series length,Number of samples,Estimator,Run,Runtime
9,10,moment_quant_approx_intervals,15,0.0022860000000264336
9,10,moment_quant_exact_intervals,19,0.0005833750000192595
9,10,moment_quant_approx_samples,19,0.002064333000021179
9,10,moment_quant_exact_samples,23,0.00042174999998678686
9,10,moment_quant_exact_intervals,17,0.0006562920000305894
9,10,moment_quant_approx_intervals,26,0.0024882920000663944
9,10,moment_quant_approx_intervals,7,0.0022565840000652315
9,10,moment_quant_exact_samples,24,0.00021991700009493798
9,10,moment_quant_exact_samples,6,0.00020191700002669677
9,10,moment_quant_approx_samples,16,0.0016861249999919892
9,10,moment_quant_exact_intervals,26,0.0005662909999273325
9,10,moment_quant_exact_intervals,2,0.0005333750000318105
9,10,moment_quant_exact_intervals,27,0.0005290000000286454
9,10,moment_quant_approx_intervals,22,0.002224415999990015
9,10,moment_quant_approx_intervals,1,0.0022150839999994787
9,10,moment_quant_approx_intervals,24,0.0022525000000541695
9,10,moment_quant_approx_samples,18,0.0017052499999863358
9,10,moment_quant_exact_intervals,0,0.0005616660000669071
9,10,moment_quant_approx_samples,23,0.001763167000035537
9,10,moment_quant_exact_intervals,16,0.0005746670000235099
9,10,moment_quant_approx_samples,13,0.001693249999902946
9,10,moment_quant_approx_samples,12,0.0016752919999589722
9,10,moment_quant_exact_samples,19,0.0001995000000079017
9,10,moment_quant_approx_intervals,6,0.0022190409999893745
9,10,moment_quant_approx_samples,28,0.0016719170000669692
9,10,moment_quant_approx_intervals,19,0.0022117910000361007
9,10,moment_quant_exact_intervals,7,0.0005680840000650278
9,10,moment_quant_approx_samples,22,0.0016802080000388742
9,30,moment_quant_approx_samples,4,0.0017522079999707785
9,30,moment_quant_exact_samples,21,0.00047358400001940026
9,30,moment_quant_exact_intervals,25,0.0005966249999573847
9,30,moment_quant_approx_intervals,14,0.002287334000016017
9,30,moment_quant_approx_samples,10,0.0018903330000057394
9,30,moment_quant_approx_intervals,5,0.0023512920000712256
9,30,moment_quant_approx_samples,8,0.0017607920000273225
9,30,moment_quant_exact_samples,9,0.0004511659999479889
9,30,moment_quant_approx_intervals,15,0.005544374999999491
9,30,moment_quant_exact_intervals,3,0.006306916000085039
9,30,moment_quant_approx_samples,25,0.009177124999951047
9,30,moment_quant_approx_samples,22,0.00472554099997069
9,30,moment_quant_approx_samples,12,0.0027490840000155004
9,30,moment_quant_exact_samples,16,0.0006580420000545928
9,30,moment_quant_approx_intervals,8,0.0029213340000069365
9,30,moment_quant_exact_intervals,0,0.0007376659999636104
9,30,moment_quant_approx_intervals,3,0.0025110000000267974
9,30,moment_quant_approx_samples,3,0.0019996669999500227
9,30,moment_quant_approx_samples,7,0.001857083999993847
9,30,moment_quant_approx_intervals,9,0.0024263330000167116
9,30,moment_quant_approx_samples,20,0.0018181249999997817
9,30,moment_quant_exact_intervals,23,0.0006172079999942071
9,30,moment_quant_approx_intervals,12,0.002363916999911453
9,30,moment_quant_approx_samples,13,0.0017447919999540318
9,30,moment_quant_exact_intervals,2,0.0005758750000950386
9,30,moment_quant_approx_samples,14,0.0017467500000520886
9,30,moment_quant_approx_samples,11,0.0017349579999290654
9,30,moment_quant_exact_intervals,9,0.0005628749999004867
9,30,moment_quant_approx_intervals,19,0.0023139999999557403
9,30,moment_quant_exact_intervals,27,0.0005737920000683516
9,30,moment_quant_exact_intervals,29,0.0005563329999631605
9,30,moment_quant_exact_samples,11,0.0004870419999178921
9,30,moment_quant_exact_intervals,5,0.0005544589999999516
9,30,moment_quant_exact_samples,13,0.0004795840000042517
9,30,moment_quant_approx_samples,21,0.001779833000000508
9,30,moment_quant_approx_samples,17,0.0017614579999190028
9,30,moment_quant_exact_intervals,14,0.0005724999999756619
9,30,moment_quant_exact_samples,14,0.00047629200003029837
9,30,moment_quant_approx_samples,24,0.001773124999999709
9,30,moment_quant_approx_samples,16,0.0017701670000178638
9,30,moment_quant_approx_intervals,29,0.0023207080000702263
9,30,moment_quant_exact_samples,18,0.0004802089999884629
9,30,moment_quant_exact_intervals,18,0.0005742079999890848
9,30,moment_quant_approx_intervals,20,0.0023224999999911233
9,30,moment_quant_approx_samples,18,0.0017657089999829623
9,30,moment_quant_exact_samples,24,0.0004811250000784639
9,30,moment_quant_exact_intervals,15,0.0006537079999588968
9,30,moment_quant_exact_intervals,8,0.000609958999916671
9,30,moment_quant_exact_samples,5,0.00047758300001987664
9,30,moment_quant_exact_samples,29,0.0004563749999988431
9,30,moment_quant_exact_intervals,16,0.0005622919999268561
9,30,moment_quant_exact_intervals,26,0.000547750000009728
9,30,moment_quant_exact_samples,6,0.00044079200006308383
9,30,moment_quant_approx_samples,2,0.0017704159999993863
9,30,moment_quant_approx_samples,26,0.0017294159999892145
9,30,moment_quant_exact_samples,2,0.00044108300005518686
9,30,moment_quant_exact_samples,4,0.0004335410000066986
9,30,moment_quant_approx_intervals,21,0.0022830829999520574
9,30,moment_quant_approx_intervals,28,0.0022585420000496015
9,30,moment_quant_exact_intervals,20,0.0005659590000277603
9,30,moment_quant_exact_samples,1,0.0004488749999609354
9,30,moment_quant_exact_samples,3,0.0004373749999331267
9,30,moment_quant_exact_intervals,21,0.0005499999999756255
9,30,moment_quant_approx_samples,9,0.0017463750000388245
9,30,moment_quant_exact_intervals,19,0.0005615000000034343
9,30,moment_quant_exact_samples,27,0.0005115420000265658
9,30,moment_quant_approx_intervals,27,0.002327292000018133
9,30,moment_quant_exact_samples,7,0.0004693749999660213
9,30,moment_quant_approx_intervals,0,0.002285292000010486
9,30,moment_quant_approx_intervals,17,0.0022670829999924536
9,30,moment_quant_exact_samples,23,0.00045262499997988925
9,30,moment_quant_exact_intervals,1,0.0005813330000137285
9,30,moment_quant_approx_samples,6,0.00175233400000252
9,30,moment_quant_exact_intervals,10,0.0005671669999856022
9,30,moment_quant_exact_intervals,22,0.0005475000000387809
9,30,moment_quant_approx_intervals,7,0.0022772910000412594
9,30,moment_quant_approx_samples,5,0.0017281670000102167
9,30,moment_quant_exact_intervals,13,0.0005645830000275964
9,30,moment_quant_approx_intervals,6,0.002321083999959228
