Series length,Number of samples,Estimator,Run,Runtime
14,1000,quant_float64,2,0.005674249994626734
14,1000,quant_float64,3,0.005687332995876204
14,1000,quant_float64,4,0.005743583002185915
14,1000,quant_float64,5,0.005795875003968831
14,1000,quant_float64,6,0.005762792003224604
14,1000,quant_float64,7,0.005733958998462185
14,1000,quant_float64,8,0.005742499997722916
14,1000,quant_float64,9,0.005731750003178604
14,3000,quant_float64,0,0.011812083001132123
14,3000,quant_float64,1,0.011859584003104828
14,3000,quant_float64,2,0.011849624999740627
14,3000,quant_float64,3,0.011877583005116321
14,3000,quant_float64,4,0.011824707995401695
14,3000,quant_float64,5,0.011762374997488223
14,3000,quant_float64,6,0.011941709002712741
14,3000,quant_float64,7,0.01187170799676096
14,3000,quant_float64,8,0.011826875001133885
14,3000,quant_float64,9,0.011880958001711406
14,10000,quant_float64,0,0.033661666995612904
14,10000,quant_float64,1,0.03400758399948245
14,10000,quant_float64,2,0.03348324999387842
14,10000,quant_float64,3,0.033579167000425514
14,10000,quant_float64,4,0.03379754200432217
14,10000,quant_float64,5,0.0334355000013602
14,10000,quant_float64,6,0.03371470799902454
14,10000,quant_float64,7,0.03347095799836097
14,10000,quant_float64,8,0.033426041998609435
14,10000,quant_float64,9,0.03359025000099791
15,1,quant_float64,0,0.00312008400214836
15,1,quant_float64,1,0.003091040998697281
15,1,quant_float64,2,0.0031071250050445087
15,1,quant_float64,3,0.0029703749969485216
15,1,quant_float64,4,0.002961958001833409
15,1,quant_float64,5,0.0029913329999544658
15,1,quant_float64,6,0.0029810839987476356
15,1,quant_float64,7,0.002957041004265193
15,1,quant_float64,8,0.0029751250040135346
15,1,quant_float64,9,0.0029501669996534474
15,3,quant_float64,0,0.003126374998828396
15,3,quant_float64,1,0.003091874998062849
15,3,quant_float64,2,0.003170042000419926
15,3,quant_float64,3,0.0030912919974070974
15,3,quant_float64,4,0.0031023340052342974
15,3,quant_float64,5,0.003094459003477823
15,3,quant_float64,6,0.0031225839993567206
15,3,quant_float64,7,0.003109833000053186
15,3,quant_float64,8,0.0030746249976800755
15,3,quant_float64,9,0.003073457999562379
15,10,quant_float64,0,0.003123584006971214
15,10,quant_float64,1,0.0031114590019569732
15,10,quant_float64,2,0.0033066250034607947
15,10,quant_float64,3,0.00320241699955659
15,10,quant_float64,4,0.0031977499966160394
15,10,quant_float64,5,0.003168332994391676
15,10,quant_float64,6,0.003202499996405095
15,10,quant_float64,7,0.003254124996601604
15,10,quant_float64,8,0.0032555829966440797
15,10,quant_float64,9,0.003250875000958331
15,30,quant_float64,0,0.0033743749954737723
15,30,quant_float64,1,0.003411167002923321
15,30,quant_float64,2,0.003340625000419095
15,30,quant_float64,3,0.0033412079937988892
15,30,quant_float64,4,0.0033333749961457215
15,30,quant_float64,5,0.0033296670007985085
15,30,quant_float64,6,0.003328541999508161
15,30,quant_float64,7,0.0033390410026186146
15,30,quant_float64,8,0.003346624995174352
15,30,quant_float64,9,0.003385625001101289
15,100,quant_float64,0,0.0035276660055387765
15,100,quant_float64,1,0.003529916997649707
15,100,quant_float64,2,0.0034991249995073304
15,100,quant_float64,3,0.0034917090015369467
15,100,quant_float64,4,0.003499790997011587
15,100,quant_float64,5,0.0035044999967794865
15,100,quant_float64,6,0.0035234999959357083
15,100,quant_float64,7,0.0035179159967810847
15,100,quant_float64,8,0.0035161659980076365
15,100,quant_float64,9,0.0035174579970771447
15,300,quant_float64,0,0.0041126659998553805
15,300,quant_float64,1,0.004137709001952317
15,300,quant_float64,2,0.003989749995525926
15,300,quant_float64,3,0.004230124999594409
15,300,quant_float64,4,0.003967292002926115
15,300,quant_float64,5,0.0040618330021970905
15,300,quant_float64,6,0.0039878329989733174
15,300,quant_float64,7,0.004017958002805244
15,300,quant_float64,8,0.0039726249960949644
15,300,quant_float64,9,0.004022583001642488
15,1000,quant_float64,0,0.006519125003251247
15,1000,quant_float64,1,0.00643425000453135
15,1000,quant_float64,2,0.006411417001800146
15,1000,quant_float64,3,0.006372249998094048
15,1000,quant_float64,4,0.006351333999191411
15,1000,quant_float64,5,0.006359041995892767
